GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "91000","New England",1,SAGDP3N,1,"...","All industry total ","Thousands of dollars",30838365,32664471,33870794,35297315,36243909,37819067,40676553,43212683,45093689,46081326,46909660,46956865,47430213,49000740,50876970,53949402,55755165,59247235,61242876,62841505,64971112,69101512,70522107,40758255,52418796,78327222,83684447
 "91000","New England",1,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",31653399,33405091,34615794,36011440,37000086,38722780,41652568,44248291,46134999,47128120,47966540,48011005,48630908,50195411,51798863,55274780,57082011,60654950,62698880,64399653,66352971,70593474,72087403,43541186,55274025,81896155,86421834
 "91000","New England",1,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",85500,73490,64825,36269,68234,42826,48280,76274,62331,83457,106147,118367,70045,58086,116165,118060,142754,179852,171784,153373,176249,163022,166759,-250127,3351,188868,210904
 "91000","New England",1,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",60188,47526,37120,7157,38211,10405,13789,36441,14493,34618,55968,63124,19597,563,59960,63439,89229,127610,120604,101657,118665,100545,100581,-205383,-4997,114885,137349
 "91000","New England",1,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",25313,25964,27705,29111,30023,32421,34491,39834,47838,48838,50179,55243,50447,57523,56205,54621,53525,52243,51180,51716,57584,62477,66178,-44744,8348,73983,73555
 "91000","New England",1,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",24050,26861,28538,29314,27049,29419,31494,33333,35854,41430,42155,39147,38874,38386,40106,43490,47026,53957,57752,67548,68933,70937,74136,59971,67313,95014,102645
 "91000","New England",1,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",532,397,156,130,0,7,360,401,357,308,1128,1577,433,498,900,1213,1416,1473,1222,944,803,774,883,842,1324,1234,974
 "91000","New England",1,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",21253,24259,26030,26785,25774,28124,29556,31304,34033,39433,38588,34882,35535,34369,34770,37801,40016,46479,50402,60311,62658,65323,68175,56634,63350,88043,97577
 "91000","New England",1,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",2265,2205,2352,2398,1275,1288,1578,1629,1464,1690,2440,2688,2905,3520,4437,4476,5594,6004,6128,6293,5472,4841,5078,2496,2640,5737,4094
 "91000","New England",1,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",1307232,1307941,1284708,1365728,1264072,1284434,1389947,1556986,1643182,1631379,1741746,1887076,2023546,2068724,2150578,2229958,2249798,2329456,2282136,2289343,2472897,2562923,2706150,2807582,2989741,3258123,3476477
