GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "36000","New York",2,SAGDP4N,1,"...","All industry total ","Thousands of dollars",384422231,413548775,437813812,478786084,490529994,483975558,495792255,526306697,552187258,591575518,639617310,655872828,618891546,644271708,666112346,686545244,706086879,743760102,776153595,790014700,832970621,874936988,914021901,907320994,978315664,1036107717,1084353357
 "36000","New York",2,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",310578329,336577880,356392859,392982715,403445151,393547171,401404188,426929112,449051372,484941482,527598691,538114122,496890570,517630807,540179124,560215327,572425964,608619932,637136256,650545182,688276159,714555590,748324842,737130323,801608038,857668511,897229058
 "36000","New York",2,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",559658,571780,543153,615759,634049,750554,695913,707777,608580,705067,841900,835782,793821,782684,721340,955264,982556,1047742,934065,1021952,1020017,955012,833986,893743,875284,1282832,1475123
 "36000","New York",2,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",456894,461611,425001,495368,520636,635665,582997,577604,480505,539442,674016,656867,601833,591428,522670,751595,780124,826769,690087,776878,763201,688377,563106,597602,579427,981951,1140227
 "36000","New York",2,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",102764,110169,118152,120391,113413,114889,112916,130173,128075,165625,167884,178914,191988,191256,198670,203670,202432,220973,243979,245074,256816,266635,270880,296141,295857,300880,334896
 "36000","New York",2,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",222713,239726,235590,241346,241426,222933,257295,280896,294478,332254,364676,414985,328723,334548,381764,371329,333907,371503,377530,353394,365684,415569,409794,398186,441280,483638,555944
 "36000","New York",2,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",8750,9217,9522,9534,12359,9844,13009,8406,15463,21880,27784,39370,38533,52597,99309,74686,57311,63600,54244,29935,10813,17199,17338,17569,19160,22947,28437
 "36000","New York",2,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",199231,215116,211787,213428,208649,193133,221814,246488,248772,271088,290325,293921,243223,237184,237969,239891,244555,272906,290979,294623,322352,356408,352503,345927,383308,421260,484196
 "36000","New York",2,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",14732,15392,14281,18385,20418,19956,22472,26002,30244,39285,46567,81694,46967,44767,44486,56752,32040,34997,32307,28835,32519,41962,39954,34690,38813,39431,43311
 "36000","New York",2,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",3479463,3668178,3737126,3873428,4077778,4469041,4366259,4406547,4391475,4760094,4887026,5070008,5031718,5196654,5335256,5189376,5226134,5524935,5724093,5983973,6147285,6327868,6459145,6901895,7095388,7100258,7103740
