GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "97000","Rocky Mountain",7,SAGDP4N,1,"...","All industry total ","Thousands of dollars",142026206,154467882,166770202,184510373,192124490,194069234,199505748,211209497,225239731,243779557,260509550,269202703,260621308,264164344,274183534,287892022,300391324,317894064,333866810,345278316,366160095,390060579,414361359,429849704,470387915,511465469,545289505
 "97000","Rocky Mountain",7,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",112818959,123960146,134393748,149889535,154945684,154173659,157394855,166926875,178645590,195094817,209408416,215091059,204251290,206024595,215385668,228585386,239475693,254768720,268311131,276968952,295536039,316253077,337757572,349691437,386193117,423333830,449993803
 "97000","Rocky Mountain",7,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1392861,1380034,1427762,1531341,1557188,1722016,1592846,1744079,1895663,1981110,2258704,2179101,2332350,2158319,2184878,2522357,2801501,2828871,2519451,2815763,(D),3063012,2559677,(D),3524372,3368903,(D)
 "97000","Rocky Mountain",7,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",1025846,1014014,1033391,1150523,1185839,1327920,1194235,1293203,1452270,1416029,1681323,1602854,1749806,1551430,1534507,1821440,2061099,2028300,1657702,1925822,2131425,2071509,1528544,2193333,2372980,2203003,2181563
 "97000","Rocky Mountain",7,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",367016,366020,394370,380818,371349,394096,398611,450877,443392,565081,577381,576247,582544,606889,650371,700916,740402,800571,861750,889941,(D),991503,1031133,(D),1151392,1165901,(D)
 "97000","Rocky Mountain",7,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2639855,2672990,2677026,2828720,3178395,2913924,3078299,3810886,4432726,5695127,6514263,7713554,6340644,6782801,7871676,8665352,8857928,9547703,8617029,6813391,7453279,8285414,8448027,7080350,6764846,7965859,8968314
 "97000","Rocky Mountain",7,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",596662,597035,581528,707659,(D),(D),(D),(D),(D),1423683,1655506,(D),1891152,2117646,2366200,2559716,2842956,3106095,3089827,2578776,2531576,2649754,2776379,2575019,2148061,2514474,2671471
 "97000","Rocky Mountain",7,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1543158,1553501,1610888,1509990,1492427,1476374,1449087,1575263,1698787,2008794,2168123,2360414,2192799,2307057,2475205,2597125,2569090,2501231,2490088,2272025,2317480,2489937,2497902,2449056,2589294,2774744,3059771
 "97000","Rocky Mountain",7,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",500034,522454,484610,611071,(D),(D),(D),(D),(D),2262650,2690634,(D),2256693,2358097,3030271,3508511,3445882,3940378,3037115,1962590,2604223,3145723,3173746,2056276,2027491,2676641,3237072
 "97000","Rocky Mountain",7,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",1324590,1307311,1403348,1442958,(D),(D),1588859,1712201,1761872,2160029,2022214,2160526,2174312,2344560,2451298,2422834,2417163,2517689,2599749,2710904,2691529,2827006,2988136,(D),3193811,(D),3360569
 "97000","Rocky Mountain",7,SAGDP4N,11,"23","  Construction ","Thousands of dollars",9054042,10264713,11506006,13068031,13896739,(D),13278334,14055442,15706980,17980676,19816773,19298073,15723862,14513499,14365169,15251205,16637822,18832093,20196408,21462313,23298222,25782103,28256481,29842909,32259076,36104842,38321585
 "97000","Rocky Mountain",7,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",17284894,18529026,19605908,21331285,20790002,(D),19723957,20539568,21384948,22521543,23402555,23689752,21597087,21688083,22596980,23542410,24463291,26019005,27076908,27544559,(D),31066645,32298965,32957725,35582214,(D),(D)
 "97000","Rocky Mountain",7,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",12170455,13213007,14134914,15590796,14858843,(D),(D),(D),15058730,15933360,16599290,16429316,14640762,14636132,15382963,16105841,16586791,17556220,18310333,18497359,(D),21100361,21798222,22030487,23772808,(D),26471891
 "97000","Rocky Mountain",7,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",778785,801000,848397,864167,823701,815060,810923,868020,942666,1009379,1026051,896457,599320,(D),(D),620259,687345,730559,762825,797691,852673,902900,(D),(D),1133026,1248613,1244147
 "97000","Rocky Mountain",7,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",711415,769691,820506,877418,891623,849222,849599,892261,958472,1062960,1155742,1101831,881092,874488,879672,964232,998046,1069795,1104264,1124004,1244145,1300356,1342008,1344378,1408009,1534934,1635029
 "97000","Rocky Mountain",7,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",560978,544253,443582,483932,460117,356308,(D),(D),(D),(D),(D),(D),(D),471421,(D),(D),584129,(D),(D),537264,(D),579811,605433,574932,623529,725893,769542
 "97000","Rocky Mountain",7,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",1299165,1382857,1457068,1535322,1534930,1492173,1463034,1544946,1621891,1774026,1899413,1963586,1776081,1723871,1834223,2000955,2123867,2256926,2338190,2347219,2428802,2612644,2695742,2716248,2913221,3118876,3293945
 "97000","Rocky Mountain",7,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",972129,1016007,1011722,1078033,1089462,1022162,967074,1007538,1084419,1184261,1303972,1411328,1320463,1327959,1459008,1553986,1547932,1623661,1719512,1727126,1794724,1943658,2072423,2002074,2088620,2310030,2478594
 "97000","Rocky Mountain",7,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",4357772,4924552,5621051,6655653,(D),5462198,4990782,5077345,5197098,5337909,5344476,5176536,(D),(D),(D),5259292,(D),(D),5604288,5545463,6414639,6695096,6736977,6762803,6947999,7003273,7042329
