GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "56000","Wyoming",7,SAGDP4N,1,"...","All industry total ","Thousands of dollars",6990196,7344783,7775059,8327050,8997343,9450394,9956535,10629320,11527492,13422855,14893444,16191989,15257936,15523744,16164891,16976570,17536794,18370932,18303203,17266138,17664047,18500233,19131131,18511263,19551831,20833999,22207563
 "56000","Wyoming",7,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",5041338,5321343,5640457,6066719,6537530,6788153,7063993,7580192,8315612,9993827,11087083,12066896,10943677,11071233,11652756,12316058,12545026,13213946,13008753,11945525,12320279,13069079,13747222,12998821,13918980,15032291,16059967
 "56000","Wyoming",7,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",88950,89734,92687,102431,111641,123867,111213,120279,127937,128923,150525,144975,158063,143761,146148,184201,205583,201913,177331,200250,(D),211827,170933,(D),240114,185233,(D)
 "56000","Wyoming",7,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",73986,74116,75127,84392,87580,99831,89075,96390,107983,104310,125788,120169,130838,115388,114334,149617,169877,162836,136611,158092,170634,165950,123360,176347,190187,135985,134594
 "56000","Wyoming",7,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",14964,15618,17560,18040,24061,24036,22138,23889,19955,24613,24737,24806,27225,28373,31814,34584,35706,39077,40720,42157,(D),45877,47573,(D),49927,49248,(D)
 "56000","Wyoming",7,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",925729,931906,920304,1060441,1161004,1134419,1217433,1413685,1634248,2163471,2324649,2639202,2220942,2295581,2568443,2726730,2688308,2821268,2506418,1925394,2134657,2315612,2332468,1793749,1695969,1934483,2167560
 "56000","Wyoming",7,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",174885,169634,174273,256943,250680,232842,246508,275973,319147,408620,442916,534400,455351,497299,508216,568616,596659,623811,613014,487826,456678,452289,455013,400279,349084,367417,417359
 "56000","Wyoming",7,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",526848,518277,510266,496221,500086,526040,546363,589048,612193,746798,807535,893131,867443,903035,947775,971353,951639,950603,1000986,900555,912841,943225,908177,852376,848467,895995,963498
 "56000","Wyoming",7,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",223996,243996,235765,307278,410237,375538,424562,548664,702908,1008053,1074198,1211672,898148,895247,1112452,1186761,1140010,1246854,892418,537013,765137,920098,969278,541094,498418,671071,786703
 "56000","Wyoming",7,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",156140,150206,160749,158324,(D),(D),188049,198433,210238,240412,257779,278090,269242,280284,292183,278835,293657,302333,317840,330838,322861,343712,345605,(D),353907,(D),345028
 "56000","Wyoming",7,SAGDP4N,11,"23","  Construction ","Thousands of dollars",509071,548759,633088,688258,772688,(D),811380,808609,918780,1203507,1496837,1705078,1375549,1355047,1267158,1349423,1392776,1555685,1506499,1341966,1262740,1362428,1652476,1510378,1546411,1657013,1843362
 "56000","Wyoming",7,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",393796,412378,419869,440111,486535,(D),466346,485314,522359,591420,635513,664349,619533,618324,680132,708247,744705,817656,846207,813891,(D),887874,935029,906672,911629,(D),(D)
 "56000","Wyoming",7,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",166696,174356,183551,185690,191427,(D),(D),(D),232319,265443,288547,296792,262445,251987,280054,297449,299174,324176,318721,275183,(D),342939,377208,350856,371155,(D),454250
 "56000","Wyoming",7,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",27681,27273,28506,28071,28351,31381,28243,28951,29694,31618,30746,25809,16955,15143,17014,18172,24459,25194,28515,26155,26144,26848,27170,29276,32277,30087,29223
 "56000","Wyoming",7,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",30583,31562,35558,35916,37965,38859,41126,42018,45819,49847,55221,57860,55219,53565,54707,56375,55231,56055,58441,59658,64276,66346,72352,73353,70734,74783,78336
 "56000","Wyoming",7,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",(T),(T),(T),(T),5189,3866,(D),(D),(D),(D),(D),(D),(D),3495,(D),(D),5225,(D),(D),5551,(D),11228,8533,9337,14446,27313,34443
 "56000","Wyoming",7,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",36646,39186,43501,38838,50214,49701,53909,58874,72329,86078,96368,103376,87471,80175,94320,102297,98753,109539,106084,87546,93947,113466,123307,114670,119857,141916,150214
 "56000","Wyoming",7,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",16240,15848,14687,15706,20145,19372,14879,16945,19168,23821,31422,32691,36575,36672,41537,53134,54404,52650,46515,40488,43655,50206,59486,47626,50009,51346,52480
 "56000","Wyoming",7,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",15769,19160,17572,18861,(D),15985,16201,14855,12232,14142,15093,13150,(D),(D),(D),12052,(D),(D),19391,12488,15984,23258,26680,18506,21285,28172,30130
 "56000","Wyoming",7,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",(T),(T),(T),(T),10941,7219,8042,8744,10616,12592,12900,17432,18400,19080,21222,20611,19161,22648,26472,17072,15102,19311,28323,27472,28392,33489,42675
 "56000","Wyoming",7,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",9863,11920,12997,15186,(D),(D),15161,17134,(D),(D),(D),21330,(D),(D),(D),(D),13809,12266,8828,8423,14745,13452,12875,(D),13407,(D),(D)
 "56000","Wyoming",7,SAGDP4N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",(T),(T),(T),(T),(D),(D),3114,3225,(D),(D),(D),3269,(D),(D),(D),(D),(D),2891,3267,2843,3103,3021,3194,(D),(D),(D),(D)
 "56000","Wyoming",7,SAGDP4N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",(T),(T),(T),(T),7999,8204,8074,8726,9265,10293,11467,11514,9041,7559,7093,6531,6583,7154,7154,7108,7360,(D),7589,7358,8196,8839,8173
 "56000","Wyoming",7,SAGDP4N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",(T),(T),(T),(T),7355,7778,8306,7916,6035,5947,5868,(D),5576,(D),(D),5988,(D),(D),(D),7852,(D),(D),7700,7371,(D),11374,11456
 "56000","Wyoming",7,SAGDP4N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",227100,238022,236318,254422,295108,(D),(D),(D),290040,325977,346965,367557,357088,366338,400078,410798,445531,493480,527485,538709,(D),544935,557821,555816,540474,(D),(D)
 "56000","Wyoming",7,SAGDP4N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",39145,40468,42979,44955,41938,32777,34295,36058,36725,38214,39786,40762,42564,42476,42437,46455,47748,50515,52382,54222,61521,62287,58525,58488,68048,73363,74111
 "56000","Wyoming",7,SAGDP4N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),4496,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SAGDP4N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",(T),(T),(T),(T),(D),3389,(D),2665,1936,2096,1704,1462,979,850,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1489
 "56000","Wyoming",7,SAGDP4N,29,"322","    Paper manufacturing ","Thousands of dollars",(T),(T),(T),(T),0,(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "56000","Wyoming",7,SAGDP4N,30,"323","    Printing and related support activities ","Thousands of dollars",10034,10946,11306,11216,11380,10139,10637,11290,12124,12582,(D),12791,10203,10640,11906,12489,12133,11759,11003,10731,10945,8544,8468,8098,8339,7696,8070
 "56000","Wyoming",7,SAGDP4N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",71611,69366,67895,70262,79186,70979,76103,80629,83380,105692,115720,126829,125652,129334,145611,145576,171834,209177,221210,222980,218882,222885,229166,236517,217750,265553,(D)
 "56000","Wyoming",7,SAGDP4N,32,"325","    Chemical manufacturing ","Thousands of dollars",95314,104036,98776,110261,144251,133695,121797,121634,132095,141246,149105,156919,155436,161078,177098,187481,194268,203675,224661,230628,232627,227856,235408,224577,214643,244045,281958
 "56000","Wyoming",7,SAGDP4N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",(T),(T),(T),(T),9287,9935,16866,17761,20340,22044,23693,23618,18115,17464,18773,14242,14777,13020,12477,14161,15271,16047,18014,18678,21115,24182,29170
 "56000","Wyoming",7,SAGDP4N,34,"42","  Wholesale trade ","Thousands of dollars",228850,246839,253110,276403,300122,317711,327018,367331,405011,477841,535013,597906,551695,553025,600562,639759,652812,716005,688412,594918,607118,643667,669898,605648,605280,689476,737463
 "56000","Wyoming",7,SAGDP4N,35,"44-45","  Retail trade ","Thousands of dollars",559339,600215,615658,654687,683259,712541,737100,761809,801811,896909,981608,1014975,953584,931526,948214,995400,1010252,1028560,1077306,1065257,1064345,1067771,1102841,1144981,1256291,1295998,1366754
 "56000","Wyoming",7,SAGDP4N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",415822,453064,468433,482909,(D),(D),508801,551353,614807,735847,811715,852238,769604,784284,856979,890651,898058,968064,967726,845279,867259,935860,984070,894087,938920,976043,1054504
 "56000","Wyoming",7,SAGDP4N,37,"481","   Air transportation ","Thousands of dollars",7092,7272,(T),13641,16881,24216,24104,23893,24392,28554,32241,36841,37285,39125,39523,40581,41583,34605,34129,34276,35150,33939,29735,25528,27692,33643,35226
 "56000","Wyoming",7,SAGDP4N,38,"482","   Rail transportation ","Thousands of dollars",229488,254011,254701,243847,226587,218820,(D),(D),(D),304640,306457,308974,270180,266098,288435,296614,279210,295671,294600,245143,238505,265243,258738,210263,195151,201326,213991
 "56000","Wyoming",7,SAGDP4N,39,"483","   Water transportation ","Thousands of dollars",(T),(T),(T),(T),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SAGDP4N,40,"484","   Truck transportation ","Thousands of dollars",99057,104483,111251,120528,129675,130571,135089,149446,174497,218646,257098,276660,231340,241055,283560,301077,316381,347118,319988,246912,260420,289170,320518,269266,281378,309684,326816
 "56000","Wyoming",7,SAGDP4N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",10469,9890,11869,12499,12261,13073,13728,14559,15482,19280,19849,19274,19691,19583,20317,20919,21050,22799,25085,20486,19920,19850,20039,15063,17199,18319,20959
 "56000","Wyoming",7,SAGDP4N,42,"486","   Pipeline transportation ","Thousands of dollars",24208,29775,35932,42411,40869,43456,46218,44078,48937,61656,63761,72340,75583,79908,82529,84774,85629,84669,96939,94582,93681,95745,104177,102733,112380,107728,118282
 "56000","Wyoming",7,SAGDP4N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",43090,43692,42879,45012,(D),(D),52148,60448,62785,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SAGDP4N,44,"493","   Warehousing and storage ","Thousands of dollars",(T),(T),(T),(T),3881,(D),12647,(D),(D),34541,54054,55828,54336,55611,56649,56994,60243,74586,72396,76893,81250,86473,88553,95425,110173,101863,99352
 "56000","Wyoming",7,SAGDP4N,45,"51","  Information ","Thousands of dollars",104253,110202,139171,140793,(D),(D),166452,181278,178655,188128,198992,200009,205854,203936,210651,220851,219901,226593,232879,226353,227183,225820,223193,208637,244073,256296,266948
 "56000","Wyoming",7,SAGDP4N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",31143,33837,38805,39738,41728,40227,41483,43003,44347,45982,49392,48824,46734,44497,46213,46906,45318,46249,47553,41554,41647,42220,41601,35159,51916,(D),(D)
 "56000","Wyoming",7,SAGDP4N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",(T),(T),(T),(T),6151,7416,6977,7323,8810,9087,10766,10409,11344,11705,12821,13087,13694,14833,16104,14021,12185,13414,12969,10531,12292,12925,13554
 "56000","Wyoming",7,SAGDP4N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",62363,66531,89627,88267,90925,93558,99356,110535,104627,110162,125985,127648,134940,134209,137731,146453,146479,147860,150823,151351,149776,148052,147001,(D),152416,(D),(D)
 "56000","Wyoming",7,SAGDP4N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",(T),(T),(T),(T),(D),(D),18635,20416,20871,22897,12850,13127,12836,13524,13886,14405,14410,17650,18398,19426,23575,22133,21621,(D),27450,41878,44580
