GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "16000","Idaho",7,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-147807,-232438,-250694,-293643,-263268,-223569,-226269,-228884,-284530,-227795,-209480,-235185,-269592,-270395,-251719,-253185,-273183,-233116,-221772,-279973,-304100,-470039,-336142,-4220564,-2836047,-614752,-483740
 "16000","Idaho",7,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-133667,-216424,-231703,-275576,-241234,-193316,-193577,-193885,-246588,-192816,-175271,-193735,-205930,-212682,-189668,-192012,-200198,-159096,-154782,-200752,-231254,-232338,-245485,-4072049,-2664618,-396529,-284698
 "16000","Idaho",7,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-93635,-169205,-181906,-227009,-185040,-143335,-131002,-130745,-163895,-120297,-108058,-127420,-119044,-138878,-96033,-104308,-104624,-68825,-73401,-114705,-142408,-143211,-155359,-852521,-346227,-171585,-96731
 "16000","Idaho",7,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-93635,-169205,-181906,-227009,-185040,-143335,-131002,-130745,-163895,-120297,-108058,-127420,-119044,-138878,-96033,-104308,-104624,-68825,-73401,-114705,-142408,-143211,-155359,-808710,-337259,-171568,-96731
 "16000","Idaho",7,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43811,-8967,-16,0
 "16000","Idaho",7,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9357,-5504,-17,0
 "16000","Idaho",7,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-138,-693,-3,0
 "16000","Idaho",7,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7667,-2874,-7,0
 "16000","Idaho",7,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1551,-1937,-7,0
 "16000","Idaho",7,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3819,-5288,-90,0
