GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "33000","New Hampshire",1,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-80262,-88047,-93321,-92054,-105426,-112937,-136679,-141535,-165374,-142290,-132770,-134633,-172145,-175035,-197819,-178154,-174842,-161861,-158978,-161138,-157708,-153533,-162785,-3304835,-2498817,-371293,-300058
 "33000","New Hampshire",1,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-52668,-64686,-70113,-69529,-76607,-72745,-89848,-89073,-113544,-99691,-93121,-95613,-127633,-127388,-144775,-136080,-133463,-116738,-114318,-111976,-110991,-99235,-110118,-3204583,-2380719,-221417,-184630
 "33000","New Hampshire",1,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-755,-1580,-3406,-4098,-2508,-3341,-5217,-3917,-6671,-6457,-5628,-6621,-7749,-17038,-10940,-12250,-10060,-6740,-5958,-5308,-5540,-6853,-6723,-40656,-22180,-6199,-7947
 "33000","New Hampshire",1,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-755,-1580,-3406,-4098,-2508,-3341,-5217,-3917,-6671,-6457,-5628,-6621,-7749,-17038,-10940,-12250,-10060,-6740,-5958,-5308,-5540,-6853,-6723,-27717,-16283,-6188,-7947
 "33000","New Hampshire",1,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12940,-5897,-11,0
 "33000","New Hampshire",1,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3923,-3132,-11,0
 "33000","New Hampshire",1,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2078,-648,-2,0
 "33000","New Hampshire",1,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1844,-2484,-9,0
 "33000","New Hampshire",1,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4293,-2676,-37,0
 "33000","New Hampshire",1,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-347252,-293422,-482,0
 "33000","New Hampshire",1,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-38,-23,-1275,-3123,-8248,-9721,-7352,-3940,-3423,-3951,-3965,-3518,-3373,-3729,-340717,-192168,-4358,-5561
 "33000","New Hampshire",1,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-1251,-3062,-8117,-9577,-7154,-3840,-3250,-3693,-3696,-3221,-3057,-3475,-268057,-130297,-4132,-5308
 "33000","New Hampshire",1,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8203,-1849,-4,0
