GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "50000","Vermont",1,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-45514,-49854,-57776,-71678,-58137,-86731,-87333,-81132,-97004,-87163,-80585,-80647,-125898,-102613,-104685,-102517,-96463,-92996,-91039,-95792,-85508,-93232,-104640,-1239395,-1082314,-236669,-194550
 "50000","Vermont",1,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-24492,-33582,-42143,-53174,-38729,-63364,-61216,-52946,-64033,-56051,-48594,-50419,-88852,-66339,-72673,-72813,-66428,-58336,-56113,-59549,-50528,-56925,-67623,-1173057,-993432,-123491,-106614
 "50000","Vermont",1,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-2623,-3799,-10553,-22428,-7019,-31468,-24952,-15413,-18399,-16953,-12053,-13231,-38325,-17901,-15069,-18309,-12974,-7338,-8742,-12763,-9404,-20769,-22468,-116239,-60948,-17872,-23859
 "50000","Vermont",1,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-2623,-3799,-10553,-22428,-7019,-31468,-24952,-15413,-18399,-16953,-12053,-13231,-38325,-17901,-15069,-18309,-12974,-7338,-8742,-12763,-9404,-20769,-22468,-111549,-57348,-17865,-23859
 "50000","Vermont",1,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4690,-3600,-7,0
 "50000","Vermont",1,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1359,-1500,-5,0
 "50000","Vermont",1,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "50000","Vermont",1,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1297,-1409,-5,0
 "50000","Vermont",1,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,-91,0,0
 "50000","Vermont",1,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8025,-2111,-36,0
