GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "18000","Indiana",3,SAGDP6N,1,"...","All industry total ","Thousands of dollars",11027481,11400270,11993654,12577543,12991038,13343941,14542343,15086976,18287138,18588566,16358554,17700150,17580422,17899188,17123089,18335211,19102836,19330755,19274020,19526670,20493077,22228295,22683021,22957330,25816009,27555275,28531996
 "18000","Indiana",3,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",11027481,11400270,11993654,12577543,12991038,13343941,14542343,15086976,18287138,18588566,16358554,17700150,17580422,17899188,17123089,18335211,19102836,19330755,19274020,19526670,20493077,22228295,22683021,22957330,25816009,27555275,28531996
 "18000","Indiana",3,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",161367,156621,172181,169450,166661,182351,191012,205981,201309,216937,250739,269556,259810,261197,297507,312106,322998,380031,354511,335510,359260,359300,379033,403892,421456,456314,504908
 "18000","Indiana",3,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",153780,148888,164069,161104,156306,172675,180409,194400,187489,201438,234764,254375,246404,245979,282247,295630,305279,352536,331776,310405,333049,330685,345873,366049,381569,412862,459438
 "18000","Indiana",3,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",7587,7733,8112,8346,10355,9676,10604,11581,13821,15499,15974,15180,13406,15217,15260,16477,17720,27495,22735,25105,26211,28615,33160,37843,39887,43452,45470
 "18000","Indiana",3,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",83389,81888,79243,82253,73212,74832,77143,75649,91957,99350,85308,86499,91797,99562,99897,114029,121968,128649,117509,109875,106899,106873,102904,100421,101192,107588,112597
 "18000","Indiana",3,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",2758,1623,1875,2471,2338,2167,2442,2536,2672,4221,4842,4929,5332,9852,11691,15323,15059,19734,17852,14768,11595,12104,11340,11050,12788,14587,13262
 "18000","Indiana",3,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",79879,79548,76698,79111,70162,71689,73914,72290,87954,94048,79259,79946,84684,87388,86124,96232,103382,105686,96247,91472,91623,91906,88349,84874,83461,87277,93851
 "18000","Indiana",3,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",752,717,670,670,712,975,787,823,1331,1081,1208,1623,1781,2323,2083,2474,3527,3229,3410,3635,3681,2863,3215,4496,4943,5724,5484
 "18000","Indiana",3,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",601344,577016,587417,660958,634706,646547,698156,731583,960466,1002616,821512,958234,1019913,1089004,1014207,1044626,1072822,1053302,990778,978377,1026538,1083091,1129674,1165694,1231861,1232672,1247717
 "18000","Indiana",3,SAGDP6N,11,"23","  Construction ","Thousands of dollars",93500,99449,103610,108958,103795,110716,109231,109592,141597,136023,114519,111970,103505,111389,96629,103459,103222,92787,95574,102630,118940,129451,132028,146234,154938,166362,180984
 "18000","Indiana",3,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",1383342,1373091,1388093,1520618,1616609,1700432,1706971,1710501,2273440,2264271,1712062,1784702,1855492,1921591,1698276,1728977,1935575,1919146,1940006,1872592,2094098,2163596,2232833,2280028,2474661,2612877,2772382
 "18000","Indiana",3,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",810545,804653,826068,888564,908529,971201,976369,955167,1299981,1274261,951562,1021994,1051548,1067529,873146,910347,979087,969907,1000352,936324,1027517,1069865,1104188,1129185,1228501,1297637,1340363
 "18000","Indiana",3,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",24740,25297,26565,27546,22425,22523,22301,21862,29543,28980,21809,22309,21030,19767,16692,17743,17581,16188,16875,17960,20009,20771,21230,22221,25255,27107,28036
 "18000","Indiana",3,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",34089,33089,34432,36932,33867,35325,35349,34295,46678,45336,34538,36574,38225,39235,32682,34119,35334,35836,35917,35265,37592,39619,41297,41686,43236,44849,49382
 "18000","Indiana",3,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",279436,272298,266556,278726,240889,252033,252241,236302,311790,296085,227160,261274,282806,282652,229914,236321,234149,229836,235852,234463,242685,250075,258200,260399,292812,317098,333465
 "18000","Indiana",3,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",72848,73378,75811,83221,75661,77375,74641,73330,102307,100252,74851,78567,76976,79567,67299,69401,70720,70899,73160,75751,86270,91719,94118,94638,99659,106536,114863
 "18000","Indiana",3,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",78026,83791,90905,101154,96631,99482,96587,95314,134462,134187,98227,109505,107141,105255,86249,92296,92374,87883,91184,92676,99217,107740,113626,114873,119072,128112,139066
 "18000","Indiana",3,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",49223,47920,46252,48637,63312,69773,69340,66182,92950,94803,64950,72330,72819,69222,53573,53161,58687,59265,60093,49244,50366,50344,49788,48843,51272,53371,57435
 "18000","Indiana",3,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",33474,31098,29468,30648,34526,34566,31637,30336,39736,34998,22692,22090,22405,21649,15124,14809,15446,14565,14841,15778,16750,17208,17951,17834,18312,19689,21043
 "18000","Indiana",3,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",173469,171841,186916,201911,249027,279245,288515,291385,389361,388777,293005,302614,308996,326959,267185,284990,292900,299080,301019,324864,373879,384767,398384,417912,463217,478031,465710
 "18000","Indiana",3,SAGDP6N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",19947,20870,23336,27640,29075,27822,29038,28404,42034,42271,31106,30491,29043,28010,24418,25148,25615,24383,23458,23355,27298,29538,29140,28518,31097,33172,34598
 "18000","Indiana",3,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",11881,12319,12855,14768,13785,14767,14882,15155,21377,21683,16974,17093,17127,17428,14275,15022,15760,14136,14181,14991,16921,17669,16980,18373,19696,21283,22375
 "18000","Indiana",3,SAGDP6N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",33412,32753,32973,37382,49331,58289,61836,62603,89743,86889,66251,69146,74980,77785,65735,67338,120521,117836,133771,51978,56530,60415,63472,63889,64873,68388,74391
 "18000","Indiana",3,SAGDP6N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",572797,568437,562025,632054,708080,729231,730602,755333,973459,990010,760500,762708,803944,854062,825131,818630,956488,949239,939654,936267,1066581,1093731,1128645,1150843,1246160,1315240,1432019
 "18000","Indiana",3,SAGDP6N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",253297,243063,223158,283808,262306,262361,260150,267801,291291,279170,230733,147344,159789,173860,161742,141228,178856,189210,199118,202044,214816,215697,244736,261261,286497,307660,311389
 "18000","Indiana",3,SAGDP6N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",5663,5956,6292,6537,5173,5431,5393,5521,8380,8323,6346,6687,6930,7532,6149,6258,5949,5801,5286,5398,6251,6778,6770,7484,8364,9660,10412
 "18000","Indiana",3,SAGDP6N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",1712,1663,1645,1827,1598,1573,1586,1596,2326,2723,2211,2181,2293,2969,1998,2236,2211,1994,2066,1984,2015,1913,1889,1856,1897,1956,2159
