GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "32000","Nevada",8,SAGDP6N,1,"...","All industry total ","Thousands of dollars",4969765,5299565,5822291,6268228,6567245,6986402,7140331,8781186,10326829,10709590,11196755,11305815,10593822,10970163,11439750,11138656,11912073,12248410,12924793,14504190,14847707,16551315,16993845,16119372,17441543,19380460,19995684
 "32000","Nevada",8,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",4969762,5299563,5822288,6268225,6567242,6986400,7140329,8781183,10326798,10709496,11196610,11305606,10593615,10970062,11439660,11138574,11911984,12248315,12924703,14504089,14847608,16551196,16993719,16119246,17441430,19380345,19995568
 "32000","Nevada",8,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",10777,11368,11376,11322,11327,12661,12260,13363,14571,14185,14487,14783,14225,14651,14830,15028,16523,18111,17004,16466,17679,17652,18105,19250,19926,22049,24323
 "32000","Nevada",8,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",6891,6813,7146,7430,7092,7938,7823,8020,8588,9910,12625,12337,11935,12019,12360,12522,13650,15662,14653,13871,14868,14749,15371,16291,16957,18287,20335
 "32000","Nevada",8,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",3886,4555,4230,3892,4235,4724,4438,5343,5982,4274,1862,2446,2290,2632,2470,2506,2872,2449,2351,2596,2812,2903,2735,2959,2969,3762,3988
 "32000","Nevada",8,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",106793,96498,106610,106928,101686,90498,102783,119172,124785,136805,187465,227393,252972,367208,498513,491560,518342,314770,279699,308875,313861,443933,383590,400560,763343,1134570,915390
 "32000","Nevada",8,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",268,154,172,214,168,242,212,362,531,627,682,877,1006,1119,1165,1320,1244,1243,1040,868,1109,1075,1062,1309,1437,1970,1302
 "32000","Nevada",8,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",103771,94054,103678,103259,99493,87617,99467,114659,120109,131247,180065,213824,240232,350442,480058,469937,499601,297675,260980,285209,291608,424306,359288,364597,725661,1097588,881400
 "32000","Nevada",8,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",2754,2290,2760,3455,2026,2639,3104,4151,4145,4930,6717,12692,11735,15647,17289,20303,17497,15852,17679,22798,21143,18552,23240,34654,36244,35012,32687
 "32000","Nevada",8,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",105543,112939,132840,143255,167121,204634,225748,250235,256177,276505,319314,364317,402903,411597,408735,382816,398521,387474,388615,400846,397773,435727,463996,464969,451658,491028,512658
 "32000","Nevada",8,SAGDP6N,11,"23","  Construction ","Thousands of dollars",51671,56434,59741,63734,79824,86702,93886,122310,123967,124067,128643,185334,141889,125517,97830,93529,111906,119932,142267,182387,208643,218921,258528,269237,251259,276444,304564
 "32000","Nevada",8,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",49336,53298,57666,64017,75756,79782,87021,100994,107539,117491,139162,174183,166427,170896,165013,160006,194710,191562,204065,207177,234774,281092,322804,343149,348730,376539,395420
 "32000","Nevada",8,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",32179,34109,36946,41367,50704,54288,60093,68553,72051,78121,93079,118292,109518,110788,101987,98511,128954,125451,131790,124334,142206,172937,198218,211156,208448,221219,233603
 "32000","Nevada",8,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",1648,1767,2038,2431,2663,2814,2878,3577,4291,3924,3434,3985,3248,2946,2658,2522,2833,2931,3401,4187,4747,5425,6305,7319,7963,8377,8116
 "32000","Nevada",8,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",4529,4502,4941,5906,6683,7475,8172,9824,10996,13052,16144,18005,14738,13403,11604,11042,11710,12266,13795,16712,17847,19979,21951,22574,22618,24232,25051
 "32000","Nevada",8,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",3338,3553,3365,3278,3168,3146,3151,3704,4229,4986,6635,9083,9893,9527,9099,9026,8866,8686,9266,9390,9433,9635,10862,8720,5052,5519,6471
 "32000","Nevada",8,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",3103,3473,3906,4535,4769,4916,5931,6709,6378,7582,9589,15416,11586,11902,12107,11066,14806,14958,16446,18280,21033,23070,28818,26392,25016,29868,31810
 "32000","Nevada",8,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",5731,5715,5929,5945,5736,6025,5462,6350,8262,9199,9217,8784,8160,8301,9653,9665,10246,10302,11267,12816,12958,14619,15780,14728,13944,15282,15888
