GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "40000","Oklahoma",6,SAGDP7N,1,"...","All industry total ","Thousands of dollars",30407339,30045386,31202376,33832896,36724727,37963270,42309120,46537539,54396545,60103955,64360882,75133363,62842027,67958503,74971466,77584430,82918761,92049025,80336227,77136605,83972351,89843968,87604004,83659395,100206724,113297649,116271003
 "40000","Oklahoma",6,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",27843331,27375893,28306775,30909629,33574352,34537018,38812252,42891134,50184147,55510912,59427204,69699039,56974709,61959135,68597650,71371636,76509942,85531559,73399485,70167290,76500495,81928603,79754742,74627540,90427125,102220814,105342589
 "40000","Oklahoma",6,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1340770,1169170,1473459,1582386,1427340,1646712,1710213,2190836,2159830,1586809,1526966,1676151,990001,1817917,2428253,2623828,2703932,3252317,3024619,2173184,2457375,2521568,2347012,2266281,3307511,3584152,4260913
 "40000","Oklahoma",6,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",1294992,1126232,1429990,1538333,1382024,1601418,1651394,2116963,2085800,1495789,1453509,1614455,906476,1711823,2344802,2553188,2646278,3195240,2952549,2095637,2383031,2442443,2267014,2170247,3226043,3504885,4166623
 "40000","Oklahoma",6,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",45778,42938,43469,44054,45315,45294,58819,73873,74029,91020,73457,61696,83525,106094,83451,70640,57654,57077,72069,77546,74344,79126,79997,96034,81468,79267,94290
 "40000","Oklahoma",6,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1306745,456397,776316,2099000,3185918,3045195,5002924,7053967,10944882,12487899,15467547,22008415,12176503,15280631,18200378,15564656,19427459,24736168,11603024,9838685,15101913,18631337,15260742,6929372,16132270,24937780,18089059
 "40000","Oklahoma",6,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",1109766,216429,565104,1688797,2273556,2357843,4216738,6156126,9773182,10296986,13088674,19144906,10552453,13450664,15802140,13567774,17107947,21804438,10047409,9126127,13355573,15938026,13124968,5629662,14851418,23261470,16233573
 "40000","Oklahoma",6,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",33557,62600,82083,77762,100620,99467,120995,136988,159357,194483,212325,261841,330731,329285,385133,250283,288465,228474,176525,186965,227272,272000,310910,421157,387227,382671,478421
 "40000","Oklahoma",6,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",163422,177368,129128,332440,811742,587885,665192,760853,1012343,1996430,2166549,2601669,1293318,1500682,2013105,1746599,2031047,2703257,1379089,525593,1519068,2421311,1824864,878552,893625,1293639,1377065
 "40000","Oklahoma",6,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",1349163,1237365,1348032,1385707,1383215,1121784,1343084,1386315,1344662,1588282,1603612,1792303,1595885,1940649,2196527,2310252,2130389,2214818,2103257,2077975,2085169,2073257,2238437,2165595,2520983,3365272,4054305
 "40000","Oklahoma",6,SAGDP7N,11,"23","  Construction ","Thousands of dollars",1237164,1209621,1143048,1279565,1494837,1534281,1651171,1894507,2089587,2195024,2124467,1914570,2292469,2447298,2590874,2733331,2624668,2535471,2462602,2306556,2217212,2095501,2223236,3605724,3307233,2865622,3296375
 "40000","Oklahoma",6,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",5777643,5044216,5200223,5134691,4827467,4300706,5360852,5159086,6076690,7907406,7395587,9896767,7470699,6442637,7620507,8470265,7228088,7515002,7540307,5950245,6791906,7865641,8355013,7342651,7134708,7659102,8731891
