GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "36000","New York",2,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",1085934.4,1112323.6,1172149.8,1217036.4,1240755.2,1228580.8,1236563.1,1269433.1,1301438.0,1339568.5,1353798.9,1328095.7,1379504.6,1431624.0,1440346.8,1496280.1,1501818.0,1535375.9,1565835.2,1590567.8,1624800.7,1665186.8,1704364.3,1656784.8,1736222.3,1765102.1,1791210.7
 "36000","New York",2,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",933890.0,956620.1,1012169.6,1054682.3,1081946.4,1070368.5,1077256.8,1107549.1,1138631.1,1178604.6,1190203.7,1162788.7,1213944.2,1264197.3,1274975.2,1332998.7,1335094.3,1370960.5,1404226.6,1429759.4,1461067.2,1490874.8,1528457.9,1488007.4,1564199.8,1594001.1,1615853.2
 "36000","New York",2,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",1451.6,1737.5,1978.6,2168.6,2253.9,2062.7,2068.4,2235.8,2556.0,2632.1,2452.2,2640.1,2514.7,2817.6,2545.7,2297.3,2441.0,2628.4,2494.1,2677.3,2819.2,2654.9,3061.1,2900.7,2972.5,3209.3,2802.5
 "36000","New York",2,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",1115.3,1430.0,1652.1,1829.7,1894.2,1706.8,1693.1,1849.7,2140.3,2154.8,2033.5,2202.0,2112.3,2403.6,2154.9,1912.6,2058.4,2222.0,2053.1,2237.5,2370.2,2242.8,2644.0,2447.0,2475.7,2691.8,2290.0
 "36000","New York",2,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",351.0,305.9,322.5,334.8,355.8,356.0,378.3,383.5,406.3,471.2,409.1,423.7,386.5,394.9,377.5,387.5,372.0,392.3,440.8,439.3,449.1,412.3,421.7,452.2,496.2,510.4,529.6
 "36000","New York",2,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",634.0,736.7,840.4,862.1,850.8,799.9,839.2,870.7,783.6,904.1,936.9,979.8,921.1,847.7,724.9,724.3,657.1,693.1,677.6,755.4,688.4,716.6,738.2,816.0,784.0,657.1,728.3
 "36000","New York",2,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",23.5,26.8,14.6,10.9,22.0,25.1,28.9,38.3,40.8,46.6,60.5,61.5,102.0,91.2,113.8,121.6,112.2,116.2,129.0,107.9,67.8,57.4,76.6,124.9,57.9,40.0,85.7
 "36000","New York",2,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",752.3,892.5,1039.0,1058.9,1005.3,931.8,970.6,971.8,829.3,924.6,893.5,859.8,785.3,723.4,538.7,511.4,495.3,519.2,499.4,608.7,564.1,574.3,586.2,640.6,639.4,536.3,550.3
 "36000","New York",2,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",25.8,22.0,23.5,31.5,36.8,36.7,38.9,46.6,59.9,96.7,124.9,205.5,102.1,98.5,93.3,107.3,58.7,69.8,54.6,42.8,56.4,87.8,76.4,62.8,94.6,99.7,100.4
 "36000","New York",2,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",19189.4,18414.1,20664.3,20655.3,17598.8,17859.5,18228.6,20337.9,19089.6,19134.4,18816.2,19463.8,17612.5,20711.4,21151.8,21546.2,21514.4,21022.3,20789.0,21519.8,22186.8,22814.3,23200.1,26385.1,24300.8,22979.0,22399.2
