"Crop Cultivation, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Texas","32.01836201402339","34.06816599363713","32.27710677380682","31.59002914747189","31.20807819053047","32.40759961567635","33.8125673312119","30.876328954313337","31.543919784492914","28.660445382195473","31.07371730260104","29.985033602245046","32.920665032176174","29.94441498826652","31.257289383629853","27.675531740937554","27.285847279932877","30.06997014018926","27.051486522203078","29.51415900673451","29.622727287727844","25.463436602997607","28.04231715739317","30.10934152404115","29.373133795491675","30.90057903738","29.237762122675527","29.613296368823626","30.748252243791047","27.88261912507529","28.385688764439127","28.077913733419567","27.799512400831176"
"Iowa","21.106289579001547","20.30680357999047","17.645099446771912","18.893778659814956","19.427318996731678","19.48078820962789","20.126090702660402","18.440490234330266","19.637695976647517","21.15976458585491","18.100659962191614","19.927460430145224","22.498362475989392","19.605874716616857","20.28114324166605","20.895343093047348","22.32645020373705","21.355034705954314","21.35858238850578","20.17139243034418","20.51364165561761","22.430244274215028","21.075797286063654","21.62956842322945","27.301135189937995","23.613032932749945","21.990028077534767","21.310510160244625","26.143236872316415","22.263747302072165","20.48025653743274","21.60115007540269","21.01209356954771"
"Nebraska","14.763087572881089","16.067714846799323","16.1002582718719","18.161960094008364","17.26300468081563","15.782333292080665","17.335647713159446","17.570750803594038","17.41331948204918","17.34455107291384","15.301042857395053","17.54660876956747","17.640579434356905","17.24413830811037","18.397091255096388","18.987451291272528","18.837388931195616","20.166749919666323","18.559209508022672","18.87645911826697","18.241616852820112","21.197583646290816","17.564797380518336","20.63274859559805","19.738120676434797","19.995676333281885","20.14585880302033","19.73273642810286","21.21756094758153","20.17332777308036","17.717593766260336","18.634095053623724","18.19149955624841"
"Kansas","14.789037449726099","13.567303585027984","15.754419799756255","18.38941165674859","15.981415220329193","16.443769458374494","16.5155879108075","16.771953046129962","16.918758866629684","16.055640927759047","15.704110396664852","20.89555103780075","17.033220082340307","18.554193925859806","18.397056222753886","20.03181938265998","16.57668733371493","19.971678313079394","21.503951057137805","16.215878599827615","19.627744892812427","17.506193118853453","17.926486103177833","23.52623734886532","20.164760377846044","20.667147795978195","20.370204427609114","21.303680719925545","18.620462919990093","20.834186458627833","18.76948270356636","18.379273696165242","17.946313305983217"
"Illinois","19.51960367392877","16.22025960859819","15.235246920277987","17.759576773035082","17.22975418884169","16.863767824274266","18.883028857744684","16.103417493172955","16.844408942241014","17.83836360970573","17.52544061726087","17.725385215539724","19.10437822536832","18.180232129779004","17.142641548676377","16.484306135930133","18.69062540429513","16.713912185461748","19.482786023215294","17.76112605967433","17.948008141190304","16.987962535305282","17.478977481733406","19.329822278684688","20.867534523120792","19.499036648329565","18.033057512558432","18.106537039611606","20.849572052574256","17.491575678607266","16.893487537412426","17.324260966143225","17.040828553899402"
"Minnesota","16.898781734582975","16.05595463780602","14.708166459208215","16.21438815622538","15.31090952095202","15.91693054636656","15.122548249656791","14.69334759187112","15.938372554292958","16.026282376867684","15.187856480689135","13.852472096070626","15.095287137600167","15.19035611882814","17.0863511007987","16.47587170800719","14.952539078592755","16.006422234759363","16.45650803658308","15.181854476707517","16.25192950947594","15.106105855654398","15.369978597061799","17.36972923449925","18.490934068216802","18.37815691362336","17.466157441871097","16.617344280875123","19.133469229943348","16.77087208323706","15.802775303129792","16.31247626365146","15.882790897142202"
"South Dakota","10.338252397295335","10.278975683881798","11.296475409182477","11.959220067479961","11.89653951660345","11.444547409919538","12.055301855504633","11.163989814645618","11.754804856690061","11.591121717917506","10.361344458528862","13.212151307775406","11.761407114082436","12.278611643584847","13.926311552497937","13.521551854657488","14.055832517409128","14.528069657665094","13.617278338511996","15.370415076871183","14.048757590258633","15.325188974667036","12.723282080270618","16.450859382400058","17.12733099538325","16.04486709557813","14.575575005400697","17.507940458640164","18.33834111363607","16.27405174497827","15.838876125878137","15.94910087270611","15.587156319237648"
"North Dakota","10.003135606281315","9.641973175579952","10.864251923593342","12.706595204894649","12.788195099473484","12.403150894822785","12.244366180894138","11.705842714301772","11.766929717418208","12.003303280001214","12.344957877885594","13.186655536542348","10.88326939368009","13.8944261864393","13.598611444732379","13.171507241475267","11.307919685993333","17.26865268351616","12.396537610921648","12.730234437649324","14.50285651019662","13.701181356144325","11.562995729965076","16.67215556887007","16.194270159451175","15.615208975596731","16.192757777112355","14.441572191895533","17.82442370950631","16.649453550832643","14.663997654414763","15.373744865822731","15.006160600437408"
"Montana","10.638431875477945","10.781375763794461","9.761431908145315","11.794280920684617","10.67329547645924","11.65121233015048","11.874419068791994","12.7665230132347","11.23749130837546","11.798266199233462","10.052906710503096","10.873327518241066","11.34053799375544","11.023161230343618","11.935746623928317","11.522262793838856","11.492313628023462","11.111886039928157","10.495793767144454","12.474537755166153","12.118227488579619","14.068034481245574","9.73745947478216","12.659475497933261","14.043571491583817","12.463556951741616","12.55981163485384","13.659559224296153","13.892891521875661","15.829436100478757","12.136344985482793","13.23623390452507","12.986603080170017"
"Arkansas","11.769856221030881","13.240656241428281","11.414382006649777","12.778282439746288","12.375832861838697","12.156660361368282","12.414032066830014","12.121732842434287","13.48168497751867","13.022638787847407","13.743602127548666","12.854373302339525","13.074946480952699","12.687959126306875","13.414311108077705","14.58082266807478","14.208300302467078","13.790607175529258","12.875903267050933","14.502304549927626","15.847051108563683","14.283429118634595","14.05346578461112","12.359059343563695","13.452202452508514","13.826767506710357","14.474989879037084","11.953114901591247","14.535584807558477","12.239392869896765","12.917858507529756","12.935957086827775","12.981692022932249"
"Missouri","13.04456255954542","11.415762599105438","10.610151976086323","12.177610537979062","11.76500654429165","11.42155501941591","12.514589934013483","11.973830044154525","12.047710851192427","10.895024464576426","12.025287841814993","13.189169225885612","13.37383649716967","12.88043951785212","12.470076154736203","12.082469120502607","12.452203996398689","12.652129622039801","13.668440615461092","13.538418847286893","14.183650093503203","12.82925310419963","12.005636219358216","14.558338963421726","15.023518519306336","14.52120676845412","12.824994021041896","14.272020232278877","15.061102660850969","13.60645737948152","12.514990287426848","12.926015824647267","12.635837265572183"
"California","12.071245336161622","10.737570685595088","10.755183617602885","11.514818025640864","11.24315200945596","12.223626278516704","12.779268968392062","12.63292184133447","12.527994663945858","12.03969144374896","13.321451655057555","13.414812474436884","14.204781491670998","13.832023197865752","14.394351301172005","13.396630132319405","14.064508164281742","12.95624280553626","13.856995058203342","12.880343849095572","13.769241190926962","13.430439094112817","12.254784101200785","12.801303560536073","12.926021859491353","13.227906127316402","12.712248577648152","12.004290401122988","11.759426544373227","12.005854827892215","11.829867489273909","11.862297414883182","11.898474980209972"
