"Livestock, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Texas","28.156710683757538","28.14977125247603","29.50588065696295","30.585705325036265","32.228215993085634","32.63018317117954","32.32678311483607","30.638931804094597","30.927405985963198","30.746356852749344","30.258667818867693","29.798105421226246","29.80393344792584","30.297383316866565","29.743162194758483","29.735723085493483","30.76045379096969","30.50372306606662","30.304521117445407","30.843832438672766","30.14116299699258","29.717863794727506","27.88069776030313","26.869754317009853","25.794303411754697","27.30782572245394","27.897276223608753","29.132321267649072","29.82260401782014","30.523332927293396","30.652527896742747","31.52816521314169","30.733378185630194"
"California","16.631511032655908","16.50526935535421","16.793772068482898","16.932280393236493","17.740621365669686","18.241995859922138","18.320137117418927","18.993849280193572","18.76967862977149","20.31428828821101","20.644752979325645","21.488808183274053","22.04239299288409","22.58544555360854","21.80959859977098","22.541709046667407","22.83925985696453","24.4769774499058","24.79217958941835","24.27978745168414","23.63878410160703","23.64824501490319","24.63700978077651","23.96907613181113","24.372263479400672","23.59383962239282","23.54468964097549","23.63403922529305","23.50070708901617","22.791011257099598","23.101745271937858","21.867111076521347","21.471591543645065"
"Iowa","13.809656416455493","14.188685344547906","13.845893038677609","13.848606432241654","14.167309731204448","14.347796388258622","13.01589764209064","13.430274589900632","14.28553866881218","14.479463215123573","14.378023953809063","14.006855151247002","14.08749969044446","14.108203800737959","13.590161196803447","14.238319897539181","14.444015319096758","15.30857288745256","14.967625282961905","14.487140354126595","15.226288210054658","15.068449088883213","15.660488581364575","15.206057914140807","14.796599157119578","15.668555480499856","16.40438426507126","16.62002149677336","17.144318182389576","17.1676358516566","17.035332871813782","16.981593190156158","16.695400236670757"
"Nebraska","12.733627418553905","13.157132856034531","12.990271329291486","13.093562795090099","13.645047720257251","13.718429825103877","13.758191946197654","14.051961101485983","14.33094028760459","14.42632396153875","14.521448171484618","14.397004172024246","14.19470721444754","14.063383017754386","13.68997202758111","14.121006904928326","14.654443829169907","15.211370856470104","14.742603826205114","14.646546860802342","14.576624932017646","14.480030499715017","14.857521485426034","14.7026416093738","14.515925745439436","15.036282795536565","15.802667949060442","16.031065523510257","16.34154722268485","16.36128414118081","16.087317476286263","16.368875334994026","16.300957497854714"
"Kansas","10.393673681729322","10.548406919811447","10.915408972585348","11.216673075097797","11.62514330444248","12.331827742741552","12.445461434634078","12.43362181545723","12.519997874699602","12.571606999225267","12.760651137689472","13.084921938514224","13.277340551849527","13.08540466036438","13.362448407699326","13.485713059832019","13.942454071578744","13.94784510336735","14.028763681547055","13.858354110610762","13.652824812202583","13.97391757602093","13.778007409660905","13.293291106380273","13.45025171164013","14.03956405344127","14.899794715802948","15.550578638603202","15.552559260047701","15.657374485911369","15.611881873708876","16.32243259446727","16.085268759723512"
"Wisconsin","10.940843592324573","10.87567000705636","10.518167516245008","10.382147075189643","10.004046098982167","10.089843540246582","9.904303270810313","9.754482905724064","9.90290260985062","9.986849190697772","10.08380041306863","10.014589871988893","9.99751828336691","10.067915726544157","9.831250436435662","10.129099889244857","10.232096355399545","10.83524153675353","10.776712513767423","10.857127585091824","11.32065129417019","11.442881325626336","11.726383839843955","11.790380828091756","11.804108723809803","12.442915995011315","12.946771644748129","13.024517020218987","13.12913044951682","12.88441304329671","12.940150495443028","13.178365971368601","13.270033074652492"
"Oklahoma","8.923719670890774","8.950217729377087","9.323447348112342","9.226383230585915","9.378735944241713","10.316642124600763","10.451826868173766","10.517803208574964","10.900138453149793","10.732428449203812","10.63160612416931","10.519323279551907","10.677746236044566","11.216316320394464","10.608273066441042","10.949424097693154","11.269104627589652","11.014656335636825","10.929621802216623","10.95884830882936","11.199942706010074","10.791995414196906","9.56956713082632","9.137914125389717","9.087876937588108","9.78712426685902","10.176119269531977","10.559453876845085","10.654640167633064","10.86813342619736","10.648503982559145","10.903581059864761","10.74152220977209"
"Idaho","4.159893671938455","4.394094628183559","4.515922127043843","4.446851855958004","4.69239061953185","5.010564570072692","5.226730602251636","5.4205658414769395","5.703168723593808","5.9066639060662585","6.281577292323289","6.54340559101732","6.717297700844729","6.978626723199115","6.828191864196993","7.194684390673787","7.571707714200218","8.172164784510226","8.162942349123831","8.190126822729196","8.103501441028834","8.456446952181881","8.538303038697862","8.80950198040557","8.410758411324693","8.712125159743918","9.013202471303421","9.217498960323262","9.295825644336087","9.480354324991623","9.824090889884644","9.959310730334039","10.202500666178612"
"South Dakota","7.122325286971897","7.216589944548663","7.445423572099922","7.824609762503916","7.865589923541457","8.333929417725203","8.068630860165884","7.82688513072112","7.684203690196485","8.070047128284232","8.145165806700746","8.492334241234696","8.417398958832646","8.124127006797234","7.990882097846191","8.239661042539854","8.33373209873067","8.29858263796862","8.144472243662046","8.17820449195713","8.42409658711528","8.200414952586355","8.186414489875757","8.532199971324095","8.319710410551737","8.621785284414369","9.162821485861791","9.141006473175633","9.591806301797604","9.720843028014897","9.655379900205176","10.012453676702354","9.701986934763"
"Minnesota","7.584043290869417","7.738158891450864","7.554451043361043","7.7252931096202655","7.542370423741989","7.825541519921623","7.740371644766043","7.80696199479719","7.818049285925356","7.723309088186487","7.7914609129970005","7.789520819349804","7.763954727457289","7.77650638932119","7.517759542681693","7.729664396877947","7.719285734233875","8.104971840988","7.87785808865635","7.81320306277916","8.12652853602731","8.15092775811109","8.294145390598057","8.273486659264167","8.118978808588338","8.469423096792484","8.886095603989498","9.027584807835144","9.227659514092887","9.07764701994067","8.962519056206506","9.000431217966952","8.877324804590938"
