"Agriculture Sector Fuel Combustion, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Texas","3.22953583869721","3.327842711397072","3.2931278327728877","3.7675911141856324","3.7411480998363333","4.712960336792672","6.009959300156799","4.564468806282495","4.537621666436425","3.4996511680179037","2.881251619151214","2.7882593812364798","3.070340893768319","3.530391941196303","3.722029292799686","4.422512361958931","4.041788672475464","3.938741758187154","4.335219345848727","3.507625058001878","3.8447925213758407","4.293619133511391","4.0148673886716475","3.4932495736102673","3.7228471652349797","3.0009969214380776","3.1373770027062964","3.1286599706242213","3.849842950048272","4.600731481724523","5.16808873150347","5.2376981785168235","5.170875493689272"
"California","4.037907107010782","3.5929096981232593","3.783007773781442","3.8388611860610897","4.062226954539757","3.2468855197127304","3.4787734307361777","4.228610613819605","4.0855032169015875","4.283787279866199","4.312406374484465","4.261659798578736","4.110026950004219","3.6504313873722776","4.588692229019536","4.519420695894418","5.016171978430605","3.7260529262974904","4.063886223773175","3.0315968697877262","3.7448689308397314","4.11548013492224","4.2819820039668866","4.142554066987725","4.869069973842151","4.664723451917675","4.040069468580978","3.9496805079108004","3.654450919594735","3.3210300150989602","3.1778454528018716","3.2358593645080136","3.1932735479198118"
"Iowa","2.3196496953115484","2.2860100918351325","2.629487083469025","2.657174307607719","2.834258348122905","2.194502449940138","2.4163953243343954","2.4454963377442107","2.376745370038864","2.215861184754042","2.4580126624356713","2.6148811669221135","2.7105853686327173","2.3390075180262673","2.441751582206321","2.3986653380504452","2.554108556881888","2.5447183993275795","2.6675344227618702","3.0739413884294455","3.1379520717178258","3.0294191770815595","3.1486899509046102","2.82708254819152","2.7420133913091145","3.0752232994124546","2.9944014980565132","2.983346704014859","2.8566061522749777","3.022405828627552","2.858163020745018","2.915503056313237","2.8776625719123783"
"Minnesota","2.1083495429418875","2.3622872573694345","2.5219140070060297","2.243677160399269","2.263357105303443","2.1415829277639244","1.925549686976062","2.5156931465315435","2.155197891909723","1.7981449233604248","1.565275166021696","1.7258576261955365","1.578124751164319","1.6692196931653007","1.6768033057598","1.7404398661277323","1.6993735558703458","2.1438688862635993","1.825664985054777","2.658300594171507","2.5207375230105047","2.411214101950916","2.3872213719502002","2.473811049376766","2.496213572870586","2.1132787546378577","2.119412301018317","2.2272074446022567","2.33137233083552","2.535166832223283","2.3196499409908764","2.3619175584098415","2.333146535804108"
"Kansas","2.023679525860543","2.032760038169831","1.8835538526683184","2.200854763485627","2.2239500447305276","2.0097395613973683","1.9479072465903147","2.1350367766164235","2.1019423964093416","1.931092723047704","1.7605023727513376","1.801651967929073","1.8525991378855506","2.1281351330613885","2.570246845248829","2.3581606092309584","2.60524227460233","2.2282204781130197","2.3628119511867585","2.303008542566854","2.153096331712879","1.888283108079261","1.8598374881425574","1.794607230065621","1.9303641351297676","1.9254418279212357","1.9918488529497658","2.048270566553236","2.1765347773243993","2.0497058147801512","2.260316048431338","2.3045924251961605","2.274616727757191"
"Illinois","2.6831937435947415","2.4527077209087538","2.4531624830537675","2.30503201820841","2.323446995992418","2.631896341260163","2.395716401811833","2.421451460874095","2.4700625264412936","1.7809747678757775","1.9542581863650192","1.7579174968090263","1.8431366298225802","2.121671631643864","2.286464654300696","2.3948283508711707","2.7539085564249914","2.725609649559126","2.7283276878679734","2.2172611536958993","2.2220139848320533","2.33641564065511","2.3154228924691838","2.5098784530712535","2.5675347116322116","2.437172709623422","2.2426734608923686","2.2178333566549813","2.2919194793948234","2.060377913734788","2.112095366196682","2.153171275455138","2.1268383344344812"
"Nebraska","2.453124036773362","2.427459577336784","2.295802401259303","2.2838441079448804","2.620868649590378","2.143079203881183","2.001140510509953","2.066173754453843","2.117361242477785","1.767796974180368","1.9593885920855771","2.1596029111484225","2.342428313648616","2.593282761528772","2.8690882977723553","2.747027292603338","2.818846311043827","2.762006955597383","2.759142767677461","2.354387242275102","2.06373687782771","2.048860459648945","2.7197040785176028","2.3671780061565246","2.0708909062898004","2.1467161247691355","2.0898869494161025","2.119517352326446","1.8470670814214931","1.8931388476084745","1.9013109018095715","1.934542055770354","1.9096566029736555"
"North Dakota","1.438247305027829","1.4605150275594978","1.3838404746943718","1.4225739023419026","1.5089340731309973","1.3562461607341671","1.234960376242558","1.0727421274676696","1.1310391093769414","1.03915728445643","1.182198740830351","1.2833700765941183","1.1865087577846927","1.2891110920149516","1.5333336824299322","1.5394341405781127","1.51788403382322","1.506300164168575","1.6992095381161","1.6139482899458273","1.6121342758480428","1.807121052017293","1.6722024452207789","1.6737477354144752","1.6101269044893565","1.8813830024286626","1.542687936114855","1.7097064983869463","1.4217608414580636","1.6002520551808146","1.8529854885225396","1.8758699276583692","1.8515091083649617"
"Indiana","1.2042770989953464","1.3643518747650358","1.088908902462003","1.099502235108498","1.0496082965506626","1.3123082310100733","1.1053813088926254","1.1673982361487656","1.1828311207376074","1.0067174673212191","0.9317277628201092","1.0744515414326385","1.1091478689008514","1.654751312522208","1.7259536929331643","1.817405372783922","1.6453292421063173","1.9879487949119508","1.6600100197360477","1.5879392694710928","1.3572880893847055","1.737882498762223","1.8120516332719228","1.5300234106377042","1.6777210227490964","1.4062901349359047","1.4409596030435843","1.5730215727553427","1.5073738956532368","1.54608612627449","1.3352641108800496","1.360873800088741","1.3436288488383643"
"Ohio","1.2326702151648918","1.1312371592298194","2.0645173027064567","1.1448856583881815","1.1533477071552793","1.2712201772905576","1.1483841477940706","1.1423094383979564","1.105450553181881","0.9349193211004163","0.87524615293039","1.0045949773328273","1.142440494590771","1.3052003421826062","1.529926400047873","1.5903549914207071","1.7916951683063547","1.7456779560315827","1.689570256946651","1.6539095780809574","1.6066795692460643","1.3807632346524674","1.6055329192792684","1.3767152696738418","1.4468894332842945","1.2593993543757036","1.351606001362363","1.100524634485772","1.119926343050967","1.0436398153534627","1.3130789525519593","1.3329110436594187","1.3166032555058687"
"Missouri","1.174947845345652","1.0258858952942052","0.9959856648254867","1.0468231797241612","1.1501407130209218","1.0868811892801988","1.0308871678872114","1.0550655519076122","0.9995840576705656","1.097848078711886","0.9617556086443725","0.9215352384790305","1.053421516172826","1.4043440746021552","1.8488740079606452","1.9710823389910501","2.2598427288563685","2.1744723756679636","1.696230196305671","1.7175916700199072","1.4428676302223546","1.4293621930998122","1.5297844418583084","1.2640661494579128","1.3482794997636531","1.6280925409785274","1.7033271804489696","1.5689964403068122","1.7352022267207319","1.3317200347306937","1.2637187374638972","1.2838240957889921","1.2674315559317666"
"Wisconsin","1.464662848707035","1.5052649611611246","1.535041467239677","1.4174068928632695","1.4849869238369964","1.2212994975185352","1.1397134066903003","1.1424192887154891","1.1148336474510676","2.165447355484986","2.7967572560856424","3.1500883826623935","3.01195384819466","1.3806732908158494","1.6937156392567965","1.719303237278141","1.8861758871746388","1.9397807246431946","1.6521726225308129","1.6442674193274631","1.4072588438157274","1.5444293831372489","1.52453027651172","1.6003633469312863","1.5314770557002877","1.4528623327670822","1.3279037448432924","1.3072626488749377","1.206809395309825","1.314913383817597","1.186955115142734","1.2060969019559804","1.1914365094562935"
"Arkansas","0.7788900458757606","0.7439006240918076","1.022851295030853","0.9636597867896532","0.9594579939913925","1.347833164303398","1.1606210792358895","1.2355863843440262","1.3822613276375648","1.1345389676486204","1.1554548227797568","1.3150424543631758","1.3579607506842293","2.143218020591591","2.503984339461511","2.9911106122340843","3.035549294312186","2.8640039676370175","2.6106599035746925","1.1763251668177335","1.463411217286402","1.3787329562385873","1.393678588082128","1.5384871470797068","1.3785188246862643","1.2430915058176562","1.268856161365193","0.9469536520470134","1.167216793124","1.1058671414579826","1.0669834046414164","1.0868700419852229","1.073047893820045"
"South Dakota","1.1687115727235442","1.1702834690662072","0.9150814177391214","1.172922653212965","1.098278199491591","1.003771419617351","0.987480977299205","0.9613564710262936","0.8787136561934187","0.8954250165772328","0.8332697368476764","0.8697347837549138","0.824836542039329","0.9510493191857932","1.03519550780202","1.0587717202615605","1.0886089681173439","0.9892166563398405","0.9165147997390715","1.1241359808694233","0.8736750656283425","1.0075974776239247","0.964441310889802","1.0763349468933978","0.8896221296929653","0.8928582678082756","0.8245693576813881","0.7913723935018897","0.7958044280948441","0.7532174179339949","1.0434253999534775","1.0584132763875898","1.0450055231998288"
"Washington","0.9261344104747906","0.934137392066738","0.8612190037866398","0.7279258458485357","0.5974588668543195","0.734774414733005","0.7278489139864741","0.6643398832649048","0.7391619907024567","0.5670390581803112","0.5180506816781458","0.6542659350790859","0.5788765894535585","0.587150091132824","0.7135855218239078","0.7276672748871948","1.3333599407123773","1.1264810349560472","1.3134166002959444","1.1728865186125121","0.9633687533411819","0.9205543089619066","0.932714402909859","1.0565862266336108","0.9278477345605484","1.0339269887011426","0.9134775545808264","0.9611271054693457","1.02345355731357","1.060939263078868","0.9952402342420119","1.0116385420895428","0.9990443509747289"
"Michigan","1.0422286632457647","1.2347908518055861","1.2406555377329702","1.1693399191667289","1.0325400048141142","0.8295708137973835","0.8420103769901971","0.7668696244809167","0.7327881785148368","1.042039199526311","0.9012033496604682","0.7273527549925451","0.739364094725099","0.8147954063122939","0.9456686389908863","0.9776336294953215","1.0792619583267669","1.4163813025882286","1.1370524598196816","1.3715531565768726","0.9353721476312931","0.9757524796257555","0.8638383322419235","0.8999122207415072","0.9250261712895157","0.9433273019195058","0.8892283419393219","0.9091223944328951","0.8820494457858804","0.9202472578619094","0.8100368353070656","0.8252727194897155","0.8159110897458818"
"Mississippi","1.399426594466003","1.4168721241545954","0.9501667266018656","0.7998050479379417","0.9132306015295619","1.1454361319308775","1.010140272392948","1.1469130425437506","1.177252193317404","0.9248224570488373","0.8872594777566204","0.9171666814119784","0.9193339904097828","0.8616913504319434","0.9938467466441142","0.9877399982156067","1.0285303596417683","0.8814832077296906","0.5938676644119566","0.7551038015989429","0.9362024386304637","0.881517860539676","1.2351690534741497","1.2693103451461725","1.1543596167907464","0.8146927648865591","0.6067340827440328","0.8001116831847442","0.7219914342003172","0.7519562910489783","0.7166670999366654","0.7278681640035561","0.7187006539945241"
"Idaho","0.9415076161004846","1.0217104213245503","0.7901639958649257","0.7358061125936135","0.6626310141856989","0.6163225970078808","0.5818735943172467","0.6082825443612845","0.5066445588996684","0.6144165194106002","0.6112829179034736","0.6776661248007605","0.7339758069776494","0.7198983183626881","0.8158427419180102","0.9673302426054395","0.9579500324497904","0.9584385015493646","0.8376640989511743","1.006496890657877","1.109565413744399","1.1649084294572507","1.0536685963143915","1.0303910879361582","1.1253162754786366","0.8476187355226881","0.8323374429288127","0.7885753131141755","0.8746247577212474","0.6508387947539747","0.7074405545244952","0.7208967397026198","0.7119691774275557"
"Florida","0.7386903155351453","0.6780183412219569","0.7339053665191402","0.8826822284879502","0.8136793662015404","0.865682705424194","0.9270572989890946","0.9825315152753303","1.2392576053069986","1.4684474940736296","1.3562386403895863","1.4797171722578912","1.6681086856283782","2.155030951148439","1.454685266842255","1.5175854346987665","1.6439132244451196","1.0462864222223203","1.053042383858978","1.324860694415611","2.8613361121042598","1.6870578234568019","1.6153640115314225","1.7719829598005596","1.4160337831459489","1.2689010697682006","1.2689879915387985","1.258322836340974","1.171380247189104","1.0255566004884684","0.6925980759357772","0.705331598522443","0.6960123913011778"
"Georgia","1.2571690547195076","0.8136780330212622","0.7047499508327995","0.8437170075010235","0.8336106669129864","1.2058796337740694","1.1919284911559145","1.071899400167885","1.3561055593959168","1.2485298007493324","1.331229784660065","1.5660563290853535","1.4192953275253752","1.1483248733068583","1.1518643740753325","1.2013420765933625","1.3741641492208345","1.158777010893351","0.7522323306976627","1.2434581515305065","1.0144426088976182","1.0314634299286913","1.221710084568755","1.1750714304930654","1.214966751703198","0.9868020403596475","1.137423800460719","1.1208499242319332","1.123775660548357","0.7735620034295114","0.594389409788582","0.6063658935011368","0.5993020676490083"
