"Enteric Fermentation, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Texas","24.26157926217701","24.34891431609892","25.71712819438579","26.674540481169167","27.978258569161838","28.452895445819248","28.08738306199436","26.497804256531122","26.678824110758008","26.459813159334903","25.81647625386524","25.56833375245015","25.686088544468543","26.146492809658085","25.7461127758438","25.71330174099956","26.464268943314885","26.059105088804277","25.794564299857235","26.241697878685745","25.75970006915954","25.142505169198113","23.327479132665296","22.576998897503117","21.56930653982403","22.82233944217513","23.421329960508054","24.358463844577976","24.768001847595347","25.48370811710195","25.632958371322996","26.275745381452225","25.41602117846218"
"Nebraska","10.155934323328912","10.466866947041195","10.513671776371648","10.67401227802658","11.084643811533068","11.204959057373504","11.46268907429189","11.673065118473811","11.872656429982609","11.971374254276569","11.952286419461412","11.872773489364453","11.646319798958093","11.517500997179951","11.282638404856703","11.6108144345333","11.985015830184855","12.400770177036529","12.052340696523956","12.042000568151709","11.859044555565447","11.728888696718101","12.00310649306671","11.93016832747233","11.787544193884976","12.088183412361335","12.62414601364311","12.825917049281676","13.073599912678871","13.028246576789012","12.812002324843323","12.983358875840809","12.903054626142659"
"California","9.949882697589516","9.631809210087864","9.774927414207779","9.842436010868315","10.199665344950859","10.33669661942994","10.310198514993386","10.537280427555574","10.509376384042037","11.116781619632581","11.235280988515461","11.428627702717042","11.735430972276976","11.855015106767025","11.700328966632092","12.0534061835384","12.1660690038683","12.928468410597818","12.884335728562123","12.75554660402771","12.519931306453236","12.45935323369676","12.786268441088712","12.591488231410194","12.69070526043056","12.369075019030522","12.453787620158705","12.515486402762043","12.670091041542747","12.554183542394913","12.712506325476188","12.834496867893991","12.895292970430631"
"Kansas","8.85983618250552","8.932977300316717","9.329771093953477","9.641037635014296","9.969445377493365","10.610816694151705","10.643035083211695","10.593321717684242","10.550069900957684","10.565124488526093","10.604746574691587","10.81594405665187","10.913203629392225","10.643680793807915","10.866353112611126","10.893430516049586","11.141112597222849","11.017790453409456","11.195309694752686","11.007029663594643","10.61766054474034","10.783953100533363","10.58467723150763","10.115518537242892","10.271422392166704","10.57813945185679","11.248855412421538","11.716389271069437","11.521002207660215","11.564399911333908","11.45382974526428","11.90334412965184","11.731242456245937"
"Oklahoma","8.1711354677043","8.198318110507847","8.550382344057287","8.435015458393998","8.407233585514124","9.129263565800866","9.044654304060666","8.798578034575211","8.863524184012649","8.592288163526923","8.43798817681071","8.282968914682282","8.506208540590164","9.012620256024865","8.505439689038203","8.799016398012245","9.123205858664996","8.885565826361177","8.907002822742099","8.986847818474102","9.142427112776401","8.699413711704961","7.539533318020182","7.30224154512799","7.395875219131704","7.958332884171323","8.345631499501591","8.799743245601306","8.830348185970289","9.06251127937569","8.853984623663907","9.105569207707076","8.915827644026468"
"Wisconsin","8.29756013759857","8.173763742561649","8.008847066732335","7.811833655990422","7.429450786337488","7.4006124128206965","7.288829924822013","7.118354433463872","7.073874082136127","7.103618266403799","7.138038479332324","7.016637712383721","6.950035130584373","6.975330904608033","6.877221785975755","6.916496216050816","6.988809198232566","7.254259466411945","7.294780350758518","7.387019591108463","7.494437265989013","7.573171455676463","7.641523221106924","7.733981384428877","7.703838528542428","7.977775304604616","8.143311625587497","8.22899098777269","8.18784569658151","8.169092363792897","8.185718438685855","8.190602195880205","8.354261626637841"
"Iowa","7.96332330638842","7.8782581965338165","7.945463552595851","7.768792285741219","7.644599254751203","7.8392435919479375","7.34130894377867","7.285882977709309","7.156504740592611","7.361270640677055","7.333884946142424","7.132737929591691","7.083911825229271","7.245390348093655","6.985598419342991","7.162982614311019","7.488845705744969","7.77507718070119","7.866896669143766","7.8893811007907","7.848446919310904","7.720723031318191","7.713919113935137","7.789140627202789","7.629825135120732","7.881416899229316","8.161038829402647","8.278478013545696","8.287150307395219","8.276871848868055","8.066245814360663","7.8359075186716645","7.970335512141755"
"South Dakota","6.220841332498132","6.261280065440753","6.577414228754909","6.944111112399844","6.947132416578888","7.434803829976851","7.300054701161928","7.035667272137575","6.843303240376976","7.186862273230206","7.246031432074225","7.569231664597946","7.477123214677286","7.15679637413054","7.103311515320003","7.232716622139671","7.294786059227685","7.230026688050435","7.109510953031236","7.163036987965363","7.328574774513795","7.0780788417685985","7.031510829115808","7.390210906342771","7.158465241481479","7.334916326474799","7.712740402443671","7.653594179624118","7.969286239455173","8.071635668973618","7.90219009073241","8.094627868455301","7.651035703596405"
"Missouri","7.5690596509598285","7.656843144653783","7.920934961177371","8.1294998721214","8.560780813025035","8.393920266310797","8.446696426830153","8.246945470368946","7.963807537412027","7.967774785800839","7.751933796284013","7.694435867483743","7.755450553612925","8.024079936295594","7.805817158509777","7.8505871367026705","8.187636280609858","7.876757677838117","7.632220132545886","7.509344216640502","7.319151625712584","6.900282472229594","6.794929698245148","6.481619154869075","6.772244834410929","6.926643378220221","7.1486149554368925","7.631377387513286","7.648143038335459","7.527722164633362","7.602047696576297","7.477680801408691","7.066291773409667"
"Idaho","3.2878747738407887","3.444600899686824","3.5729646856908808","3.51797558655676","3.587431980346509","3.801691722881346","3.848568642697561","3.907880662353924","4.045961387674732","4.118973743263969","4.247387419700192","4.34608207480194","4.456590478830285","4.5320936852559175","4.52415368973159","4.703163543196568","4.831054424551361","5.072359313475184","5.155649847003018","5.144294847572108","5.1424922393519505","5.373189679855065","5.405645114018757","5.648302602059108","5.387961846535855","5.567830851790389","5.866002452750248","5.906585907166983","5.958402343024647","6.094797012045826","6.183337860407709","6.185157928185824","6.33247121208985"
"Colorado","5.112670786019472","5.057293787584569","5.462882978641949","5.500977421636502","5.604863601304544","5.714473131356474","5.827457598182482","5.922087707135364","5.954320433129084","5.89625765781976","5.825194982067686","5.812615162800805","5.72406880975438","5.154579390004296","4.539387558926306","4.92160878449315","5.172921732766473","5.754576057616504","5.817402013105615","5.577377587012519","5.55844629545704","5.688028979178001","5.992802329768844","5.711542499114189","5.673032654208884","5.80729277351249","6.112842663256032","6.36342500082818","6.376824981080881","6.423602803359797","6.4058739749816604","6.247245537296127","6.151184481885581"
