"Field Burning of Agricultural Residues, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Florida","0.13614367729705634","0.1305785853754464","0.1410534152365076","0.14325028369554108","0.14298544443038763","0.143291155405452","0.13461147488677036","0.13743434634378285","0.13273569732850504","0.13327555140083636","0.1397882105030601","0.13699018683658726","0.18251902262914205","0.18608732431282385","0.19050379603766204","0.1582710676118071","0.1957136733414805","0.19798130289621704","0.13528303834851826","0.1007813247827238","0.14258560000486303","0.08312517338706106","0.12344266495152587","0.113374132985114","0.1239038229480955","0.10564469308321542","0.12364519394370742","0.12343233571805833","0.13925188364119628","0.10819716924020238","0.12933998163797886","0.12204665460712696","0.12120430151058435"
"Louisiana","0.05015127297866126","0.06076346208365401","0.06845249101990103","0.06087465746937672","0.06585277980731058","0.06066116902264024","0.07197001655322482","0.0721399374629658","0.07283809921784123","0.08682013883922768","0.07920744736885062","0.055998417654750866","0.04745033866899755","0.08865887304105696","0.06220539506980003","0.07886971377923514","0.08557394095964387","0.06943290699697602","0.06092120722822803","0.07065766426944642","0.11394523447239527","0.08561436505418972","0.08000761308027889","0.08240414746202103","0.10217281029528066","0.06637158942375357","0.10940855502918224","0.10676674464791022","0.06837068441594875","0.15982073827420304","0.10207387299525347","0.10906480570209032","0.10787142978463628"
"Texas","0.07718167375153925","0.08329374026547243","0.09470736406686896","0.09885511106061973","0.07356493768059312","0.07446853017389085","0.07265636882525932","0.08241771283436011","0.07931450869317455","0.07551190147268487","0.07139772050051144","0.07122190461123473","0.07198269793780368","0.06615972948338418","0.06525131156990237","0.06637577037863253","0.05514579843466564","0.07450681205958641","0.06035511830627822","0.05862063704295521","0.06848453678992089","0.05315600810231101","0.06010284384598797","0.06188658498559435","0.061795691554222654","0.0663673255902903","0.06491177919459855","0.06563934195753343","0.06508888525588809","0.06564398628194115","0.06632614327051314","0.06583463295297964","0.06554374408662036"
"Illinois","0.04856314954762995","0.04478828081779899","0.0642494803078098","0.05654672278916804","0.058521094122567355","0.04475464293639542","0.05106070330109565","0.062665430116721","0.05691041850440872","0.05602468395020966","0.06023365671378388","0.0603500365813808","0.05176266650859815","0.060182774517333386","0.06512182561305258","0.0558235255544963","0.06317509573382862","0.0725124088749723","0.06818036058438832","0.06189611539633525","0.05848504543261682","0.06201385586103109","0.04486498948224306","0.0655296447661854","0.07182870298855037","0.0607718961939733","0.05950607343395185","0.059039584067572676","0.0588735264157317","0.058793723079149374","0.0587504804849846","0.058717364230223744","0.05826362443772704"
"Kansas","0.04437272362783365","0.03729460528290714","0.04367572331471309","0.05065088401515502","0.04290668569276806","0.030086892565827972","0.03393885933508153","0.053103533810865675","0.05417913727638292","0.04992649449113835","0.04426618048421589","0.04610252121781299","0.036718862520360614","0.05061701084997151","0.04595220449279983","0.04839933617108589","0.036798919039439874","0.043586503165622896","0.04705230415326281","0.049364219690973654","0.045498962791737464","0.03774118502989473","0.044015255961024874","0.044416745010405156","0.037863909407343264","0.04301768260390866","0.042307222218505455","0.042051728649018766","0.04199097801206988","0.04196352522200741","0.0419571995755649","0.04195191525884953","0.04186671478400035"
"Missouri","0.019911764662554746","0.020045831672744725","0.028293846097511444","0.02250537564709198","0.024183613449746552","0.018870138039882772","0.02440156902073313","0.027639028401489105","0.02457308497824858","0.02202423905780333","0.02891556429600302","0.028320317747965586","0.023414167057683413","0.02594198537705764","0.03141272657572837","0.02561714871420311","0.027588809999295454","0.03158149018422905","0.028394086380057235","0.028085330120585356","0.026195274092997833","0.02303398902814075","0.02058504713783616","0.02942499817332056","0.03421656649165168","0.029375281770381036","0.028347530210563722","0.028508006165281114","0.028144707316854353","0.028342551003940793","0.028142736252995116","0.02827298336109567","0.028052146027738856"
"Arkansas","0","0.04687179330779436","0","0","0","0","0","0","0.025646232194760282","0","0","0","0","0.05814328573819979","0.026742846706468065","0.08864144766917371","0.018896201591110825","0.0153543035953216","0.06231167906824041","0","0.11203970854416195","0.015494212917266941","0.006830569187298139","0.030179731579393645","0.041897215221605395","0.029505449343673128","0.02784569048107695","0.028650889087502157","0.02785187510843198","0.028417724160307894","0.027947793726274036","0.02830175455838507","0.027979568409945702"
"California","0.06861364109320074","0","0","0.036829635463839404","0.05288286555731428","0.030237271516045838","0.14268399912129082","0.04236837419117845","0.009406240359969325","0.04225247672015243","0.011090176374349428","0.03697308437984632","0.15414794808862464","0.12608319085013645","0.03964095568234304","0.00005612516965063918","0.039836629692875734","0.02557210313450129","0.013336213030390303","0.041384497772644996","0.01079436782649116","0.020729462503003525","0.032616800995410165","0.012669965718015036","0.02656680785951973","0.02764686236852829","0.026578518736562234","0.02763286532182381","0.026772070810895377","0.027519527520221177","0.026951535374611132","0.02743451434852834","0.02706911349097834"
"Nebraska","0.01818998330404579","0.01796680002697659","0.02006252078832469","0.019134253116120783","0.01964472090530717","0.016754147273753132","0.02132661095597837","0.02112191034577217","0.022654573663412128","0.02483809408264744","0.019628334015186204","0.022893454763819703","0.01972529525015415","0.02388621199234025","0.024929224448533304","0.02543280682098572","0.024178479886595095","0.028780894592380646","0.0261418162844952","0.029460516964981774","0.027438351501150995","0.02730052682136369","0.024261040648068142","0.028093758368551384","0.02912725441875411","0.02747524017015511","0.02713252059053582","0.027002054359207873","0.02698536380230917","0.02698082753668509","0.026987552365072918","0.026991663902294467","0.026813098245418863"
"Georgia","0.01179678266714572","0.017930752559620393","0.019590301158640657","0.017052241071432956","0.022225591252163213","0.017799150551770865","0.019120451982846263","0.018585868670973168","0.01742561763551433","0.017868523358724565","0.01892146183630481","0.021654251660290842","0.016187199032638655","0.021141437604324888","0.018634045750518823","0.021075226143157967","0.020320833506122495","0.018916018771513683","0.022099234262980775","0.0200876810080262","0.02034308837436816","0.021558678107116383","0.026439213891487994","0.022478974563741684","0.024745644706668832","0.02378325511576781","0.024907577774684355","0.02431733355607897","0.024821548407283713","0.024515905720715492","0.024759620753714007","0.024608497912529545","0.02469475803892315"
