"Liming, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Indiana","0.44332343894263115","0.4735510275699181","0.41936000981059696","0.35936576592949293","0.4160987015836287","0.4661662407691416","0.48603270928576336","0.5492618194338478","1.0632648778158553","0.7860606362362001","0.46273461877984545","0.6742202317520036","0.7197730646294196","0.883615193011497","0.4493506121795691","0.9815157793939345","0","0.706590065876788","0.5059564799671699","1.2390165627664929","0.7264468818504988","0.4674608075277269","0.752734314420359","0.5812214129985328","0.49644585686009934","0.6667116423792122","0.5382908529988046","0.523897816134085","0.39449256564683854","0.5249496336607975","0.6360334542975269","0.7795410323321568","1.0674166113515655"
"Illinois","0.7553730115128506","0.8068774045731966","0.7145420379175613","0.6123186301455883","0.6787425628669121","0.8249915708348624","0.8304399933491852","0.767601921569042","0.79179299411819","0.8139917248334254","0.5671108485798105","0.7739569524253771","0.6714300976020705","0.7540182980364774","0.8355693201686202","1.4308844494779047","1.5783142398490522","1.2292731283061924","0.6230373183066802","0","0.745975023835727","0.5594203106479356","0.9959960135927921","0.6974656955982392","0.6367457729292578","0.7446389772027564","0.5613604609844678","0.7692150474984583","0.6411089145150282","0.3126051422070154","0.5801656508795009","0.6735234519349836","0.9222479522077527"
"Texas","0.15915781412216015","0.1700098388731579","0.15055468903447583","0.1290161194997755","0.14253593820205154","0.18094610661433788","0.16254736303927847","0.14976766380835974","0.15835859882363804","0.21227627333891286","0.06610494553997792","0.2365755014372416","0","0","0.14743156449197437","0","0","0","0.5143193969914207","0","0.183173971821443","0.2230017950665059","0.19001951595733454","0.1743664238995598","0.1672806691593813","0.37386894377545304","0.23338753412162463","0.19720699222043941","0.09172069141966827","0.22605939179266774","0.39150437626016693","0.2968492251120853","0.4064722456026762"
"Kentucky","0.4906321592820922","0.524085448179853","0.4641115020236007","0.3977150455445837","0.45446241165871504","0.32508961527321717","0.3135071912876381","0.17433092529856906","0.12555574621017015","0.30005969464447835","0.25154671381791593","0.23378287325838715","0.2508462844641335","0.2851131689450429","0.14743156449197437","0","0","0.24730652305687578","0","0.3201546446856485","0.16677033255385104","0.15135001555200997","0.2106738111700883","0.16481778640029823","0.1277088979603879","0.16978980883208988","0.15994928203393055","0.14390862210876407","0.06457885416282766","0.1957920255275407","0.15900836357438172","0.21827148905300392","0.2988766511784383"
"Virginia","0.30766333359834896","0.32864106648315167","0.2910328831335734","0.2493973018676763","0.28861314194949567","0.2588449389533918","0.24913199800475558","0.2742897533073376","0.22961996829427517","0.6184741046528477","0.4035880885598652","0.35625956624528954","0.30133782780380924","0.3436281306155822","0.20944937625560087","0","0","0","0.3111005133021275","0","0.2159812503566268","0.23717888513087132","0.42042965366405416","0.21048518313589723","0.2647711236587197","0.25040823428487397","0.18340338348602134","0.21022077197413877","0.1670626879429672","0.1872793287654737","0.1843637512794859","0.14780097973017692","0.20238218951225678"
"Ohio","0.23435048221136975","0.2503294477896105","0.22168288857832263","0.18996861690124425","0","0.28368669257332624","0.35728232271999827","0.3043115173509269","0.38458516857169234","0","0.2258005771339246","0.21583026353717993","0.3158407179120139","0","0.23507350207410524","0.36954660368747544","0.5615659505319279","0.4316974923028047","0.8948321215948293","0.2758394537545842","0.3765025774752048","0.3536609224164689","0.41492184160731976","0.1423992461846405","0.09713071112480205","0.1682048534277066","0.1261138569882914","0.036103706994701425","0.0453923829985093","0.06620986370496545","0.1637356392482147","0.10726484604890477","0.1468765257219754"
"Florida","0.3750234320949325","0.4005940494708072","0.35475189522493616","0.30400058078982545","0.2806452944723623","0.2450439647200948","0.14902857244987316","0.23369214056657495","0","0.2394093308333604","0.23693404164592088","0.08537463289640759","0.12193170572453599","0.11074643752410764","0.14891702106116303","0.36659023085797554","0","0.2681170523943428","0.18900192474806676","0","0.24644515185358318","0.11188406212958713","0.10464842907795235","0.2266763510694278","0.2039744933620843","0.18794038390140705","0.07036230435627233","0.10745940034640306","0.3785818334617942","0","0","0.0904267597505302","0.1238203269167816"
"New York","0","0","0","0","0","0","0","0","0","0","0","0.07380517329829628","0.35075508298732155","0.36679848456566144","0.03342277280674482","0","0.1037676212939432","0.0793703909615022","0","0.0913435568170918","0.06366174287184478","0.054792537275790955","0.7802733747040308","0.05023413640915891","0.018706655475887804","0.023144851372230556","0.015764232123536424","0.016254682328930778","0.02433406098889158","0.014660755534670921","0.026214892373073746","0.034299805422614904","0.046966330899468875"
"California","0.00908578072744615","0.009705286077404684","0.008594657444881491","0.007365093436010807","0","0.02668188351770745","0.037981364036900715","0.05117346143793613","0.06635979379276259","0.10374404336112282","0.05427563949598188","0","0","0.05812224380697845","0.060903719336734996","0.10406432359839304","0.15085544944413595","0.08227418575277669","0.13715183919771218","0","0.12771404858339414","0.057857854046464575","0","0.17519674020384346","0.11223993285532682","0.0032634236105548707","0.05536705916559135","0","0","0","0.05028102307622341","0.019956250427703215","0.02732586525060008"
"Massachusetts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.023824333221978723","0","0","0","0","0","0","0","0","0","0","0.01870898477597176","0.025617998672437574"
