"Manure Management, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Iowa","5.846333110067072","6.31042714801409","5.900429486081759","6.079814146500436","6.522710476453246","6.508552796310685","5.674588698311968","6.144391612191324","7.1290339282195685","7.118192574446519","7.044139007666637","6.874117221655311","7.003587865215192","6.862813452644302","6.604562777460454","7.075337283228165","6.95516961335179","7.533495706751369","7.100728613818138","6.597759253335893","7.377841290743755","7.347726057565021","7.946569467429436","7.416917286938017","7.166774021998848","7.787138581270542","8.243345435668614","8.341543483227666","8.857167874994355","8.890764002788542","8.969087057453121","9.145685671484491","8.725064724529004"
"California","6.681628335066392","6.873460145266345","7.01884465427512","7.089844382368178","7.540956020718824","7.905299240492197","8.009938602425548","8.456568852638","8.260302245729449","9.197506668578432","9.409471990810186","10.060180480557012","10.306962020607113","10.73043044684151","10.109269633138892","10.488302863129011","10.673190853096232","11.548509039307978","11.907843860856229","11.52424084765643","11.11885279515379","11.188891781206427","11.850741339687797","11.377587900400945","11.681558218970112","11.224764603362294","11.09090202081679","11.118552822530999","10.830616047473423","10.236827714704695","10.389238946461676","9.032614208627358","8.576298573214434"
"Texas","3.8951314215805377","3.800856936377107","3.7887524625771616","3.9111648438670956","4.249957423923802","4.177287725360294","4.239400052841707","4.141127547563477","4.248581875205195","4.286543693414442","4.442191565002454","4.229771668776097","4.1178449034573","4.150890507208483","3.9970494189146804","4.02242134449392","4.296184847654812","4.444617977262349","4.5099568175881695","4.602134559987025","4.381462927833042","4.5753586255293985","4.55321862763783","4.292755419506732","4.2249968719306645","4.485486280278809","4.475946263100691","4.7738574230711","5.0546021702247925","5.039624810191445","5.019569525419746","5.25241983168947","5.317357007168011"
"North Carolina","2.1026454126022833","2.394712047066886","2.86986916269752","3.3589718824248895","4.2063225093725745","4.9246614167501574","5.557338309622039","5.881601078609151","6.355027206664032","6.00102899900244","5.816127777137266","6.069705049362443","6.217214837983504","6.116464107673056","6.211744644995276","6.230339236615952","5.982483996371044","6.364033568579062","6.040502036383972","5.854312103640846","5.709965904276586","5.598190485355976","5.433844236287121","5.2499254117363074","4.882727262195821","5.508886982182813","5.677930719331854","5.65655996453812","5.6934619278984355","5.853564424187325","5.724807796973532","5.152841856543398","5.118433091779859"
"Wisconsin","2.6432834547260042","2.7019062644947143","2.5093204495126744","2.5703134191992207","2.57459531264468","2.6892311274258853","2.615473345988301","2.636128472260192","2.8290285277144935","2.883230924293972","2.9457619337363057","2.9979521596051724","3.047483152782538","3.092584821936123","2.954028650459905","3.2126036731940424","3.243287157166977","3.580982070341586","3.4819321630089046","3.470107993983363","3.8262140281811785","3.869709869949873","4.08486061873703","4.056399443662879","4.100270195267374","4.4651406904067","4.8034600191606325","4.795526032446297","4.941284752935309","4.715320679503811","4.7544320567571745","4.987763775488395","4.9157714480146515"
"Kansas","1.5338374992238","1.6154296194947302","1.5856378786318723","1.5756354400835006","1.6556979269491163","1.7210110485898533","1.8024263514223775","1.8403000977729882","1.9699279737419213","2.006482510699167","2.155904562997881","2.2689778818623543","2.364136922457308","2.4417238665564605","2.496095295088197","2.5922825437824297","2.801341474355893","2.9300546499578877","2.833453986794365","2.8513244470161205","3.035164267462242","3.1899644754875722","3.1933301781532744","3.177772569137383","3.178829319473428","3.461424601584479","3.650939303381409","3.8341893675337624","4.031557052387481","4.092974574577457","4.158052128444596","4.419088464815428","4.354026303477571"
"Minnesota","2.4743334692201318","2.5685660979057356","2.355559743549755","2.4350135585570634","2.5709784546564096","2.662587339492078","2.569897473669845","2.804229624768076","3.011024863654707","2.8941822321885415","2.9064622489830216","2.972351705346091","3.0437136891633716","3.084187581566152","2.9570517110312418","3.1839462200953306","3.191350485032504","3.4496520670551347","3.2039979953713154","3.0997597136693567","3.4143498495997617","3.489727088212625","3.648549035202476","3.509777743256413","3.467311242982611","3.7375849377018446","3.9532756418251664","4.0601086672258235","4.286408077503378","4.18600620470347","4.131157463448233","4.278231371415019","4.091463243451118"
"Idaho","0.8720188980976662","0.949493728496735","0.9429574413529618","0.9288762694012437","1.1049586391853423","1.2088728471913457","1.3781619595540753","1.5126851791230147","1.6572073359190762","1.7876901628022894","2.0341898726230974","2.1973235162153815","2.260707222014444","2.4465330379431984","2.3040381744654024","2.491520847477219","2.740653289648855","3.0998054710350407","3.007292502120811","3.0458319751570877","2.9610092016768834","3.083257272326816","3.1326579246791035","3.1611993783464603","3.022796564788839","3.144294307953529","3.1472000185531726","3.310913053156278","3.3374233013114414","3.3855573129457963","3.6407530294769375","3.7741528021482127","3.8700294540887628"
"Nebraska","2.577693095224994","2.690265908993332","2.476599552919837","2.419550517063518","2.5604039087241803","2.513470767730377","2.295502871905765","2.378895983012173","2.4582838576219803","2.45494970726218","2.5691617520232075","2.5242306826597956","2.5483874154894486","2.545882020574436","2.4073336227244106","2.5101924703950256","2.6694279989850465","2.8106006794335743","2.6902631296811625","2.6045462926506313","2.7175803764521955","2.7511418029969184","2.854414992359322","2.77247328190147","2.728381551554455","2.948099383175225","3.1785219354173333","3.205148474228576","3.2679473100059786","3.333037564391799","3.2753151514429444","3.385516459153216","3.397902871712054"
"New York","0.8958962657571008","0.9154391798613049","0.8734945795374194","0.9183915229587165","0.9161748821442671","0.9468718250820811","0.9451272465023769","0.9983354218966572","1.1229635329149925","1.2490254400328806","1.2835711851384437","1.3468878256531926","1.4713649521379646","1.4915728178534684","1.4737064879738788","1.639463065002089","1.6511591646028596","1.8149471108946755","1.843723772933938","1.8490110576919263","2.0227438431272597","2.0992903963133362","2.162516354199288","2.2252713223165483","2.304057199275015","2.482873559608346","2.7009321361663106","2.6416888877799423","2.761773814858878","2.6793726971713094","2.7748773504648954","2.8129614833535794","2.782218902272022"
