"Rice Cultivation, MMT NV2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Arkansas","6.277606856826522","7.602072203375944","5.711097280333751","6.876697378163288","6.692560630986196","6.254913702924502","6.730907530841877","6.178211929423999","7.11196870132793","7.02498650892432","7.471170520208528","6.089205127622355","6.971951222148477","5.899174842247957","7.136054218599314","8.834184418783707","7.698559086943024","7.4286348880789275","6.625545276589518","8.402302763305778","9.834423300503307","8.119498802738624","7.839770195382423","5.97735926914957","6.866109027631059","7.434433428413012","8.201440945594943","5.914814215708106","8.039266001265489","5.614275827310357","6.815893167907371","6.89829746756205","7.130125335953658"
"California","3.2048445971459567","2.842282621840121","2.682302022548286","2.983032074974084","3.0933039652979155","3.2226855058762394","3.35393390848003","3.703457263037285","3.507922938382828","3.4590166923301138","3.963796670602258","4.404450642912723","4.215578827598634","3.504661369600479","4.0576622842670576","3.4385134855606165","3.87110951999042","3.6904026297977106","3.7184693875448898","3.663465320520866","3.7736342700053362","3.6121956255741945","3.723310070793292","3.9971656044612347","4.051543590664677","4.374222176765658","4.592396367928541","4.3749064729244","3.681919517182788","3.470065687345902","3.615702438622971","3.631165324242159","3.751357393797401"
"Louisiana","3.4982678408469625","3.3055331010873137","3.761860400967133","3.208783445709632","3.550351311707945","3.119448871089421","3.515808799807304","3.317384308177072","4.197193818646777","4.086833463549435","3.9860975050682295","3.970152901755351","3.78596785648905","3.7385302115192744","3.4088295252807406","3.7789444951014906","2.9436097314951377","3.4800625688971465","2.686850326858022","3.698869088540264","3.3775765154434043","3.43784781678793","2.9691488223699007","3.511653760967254","3.2863188070290734","3.5003485175667626","3.217524919417956","2.8877872691658313","3.6796413472134177","3.1846374155590955","3.6511095865975136","3.5982776196151316","3.677469109444667"
"Texas","4.297900937889594","4.387339015616433","5.300805917856027","4.356543954196118","2.909453406280467","4.787277638833923","4.724291316538203","3.1577865056673238","3.5084712247167826","1.4894363038608578","3.275043139440433","2.3282527377109417","3.9052769202755027","2.8457302280655083","1.5078801034438298","1.9467036177354147","1.3087476498146242","1.691898757275485","1.0936606037582743","2.094407523586592","1.8021471461155074","2.8195334407161576","1.4738292137903828","2.7322437528665633","1.786543335279864","2.259806524714583","1.7713226968993414","2.4858892189885156","2.6219167102891574","1.8759265605817108","2.9304835678802292","2.5035166464380354","2.587547876758078"
"Missouri","0.545200677137287","0.44820221778350516","0.3937911922996839","0.5010786566234587","0.650381394666633","0.5638429685467533","0.4751012970660852","0.6177496193457115","0.6864264966170336","0.8469014246581924","1.0989536853819233","1.1998499336410868","1.212903900522777","0.8155258368180442","0.9920853460028727","1.1960628151429833","1.1638341822233027","1.3476886644135837","1.2847840962988797","1.0981081162071078","1.470103712925442","0.6862449068357137","0.7123105981023719","0.8094875138240999","0.933044752728317","0.6900914239868423","1.0290459108407055","0.7842627483895442","1.204216628463892","0.8909917104253656","0.9624298932955381","1.0303085602064073","1.0650332437208836"
"Mississippi","1.0925815269819263","0.9361292050813321","1.1414334910896338","1.1650922550016074","1.1957874022581043","1.1453337521799294","0.874176231075572","0.8338446137865989","1.363909433526602","0.7189096076886187","1.2105628233543726","0.9241157053535143","1.3023602878878089","1.0195000905109373","0.43833202614230066","1.3032112933388802","0.8706449833053781","0.7433135028761333","0.8958047030767179","0.5249003187687034","1.1816543836670876","0.6156750102042093","0.8616789657767965","1.0095444274765624","0.643361918906409","1.332501219741062","1.0606824697949353","0.27627980713393646","0.6812869903560845","0.5688045656574072","0.6028825548249734","0.6264056286132554","0.6459690593453177"
"Minnesota","0.027240837141643916","0.027214522072150645","0.027149150466223855","0.05822925667871648","0.05809914395879216","0.03576744766916132","0.049841454808365354","0.04976161794784824","0.05893767869960096","0.11343550805314646","0.08094729445248432","0.05175798678173592","0.03908432000537988","0.02783327482282911","0.02670560666198877","0.04718095106105024","0.03399415877797296","0.0007001244030279072","0.02389003121108422","0.06774444236407567","0.05650003174739197","0.05904905213861192","0.07958985047372631","0.03705138418940924","0","0","0.021078826556865785","0","0","0.021061774748807688","0","0.007275951202135812","0.007384243509487991"
"Illinois","0","0","0","0","0","0","0","0","0","0","0.00693866231421036","0.010028055032637746","0.007054079321985502","0.008793721746058868","0.006168978187970486","0.010123038919252852","0.007115349416876607","0.010816664875914313","0.010030341429539368","0.006606611281666679","0.012009882813060186","0.012055340823517237","0.009191024544610831","0.010048209562164437","0.006949418005238304","0","0.005441940108137696","0.003424965668582771","0.003880247427336084","0","0.0030267094958420404","0.002325725038050853","0.0024053785908330176"
"Idaho","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
