"Urea Fertilization, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Minnesota","0.21518140856995976","0.2060483436451057","0.22632562702228676","0.25133111748162934","0.292353848014757","0.32732234273791166","0.30585638077958205","0.3030505262330279","0.31531680522543776","0.3014768167165623","0.3114103985001058","0.31692197961837365","0.3349629083431613","0.37174255610995194","0.3940634997127219","0.3535995927303517","0.3577225666334029","0.3918486041912365","0.3821093001905108","0.39196639789530985","0.41537129904139825","0.45693715528138135","0.4729048655840818","0.4673719943149173","0.48451473174271975","0.5150438820647737","0.5295396726843873","0.5339158177628602","0.56436614858572","0.5825326949275818","0.6006992412694435","0.6188657876113104","0.637032333953172"
"North Dakota","0.08445903450361365","0.10415199165381475","0.11656520475369683","0.13408653990141822","0.16768788654026429","0.20463322918745655","0.20076475913998004","0.18734982987087603","0.14455781741207777","0.1924739384922435","0.23619895079984277","0.26037026411442743","0.2880783543499955","0.296122400314494","0.3265998706946083","0.3422819928029272","0.33733955366052804","0.33964610819801017","0.3240449860594515","0.33776155795457985","0.433025541625087","0.4392217073391999","0.5066836465571986","0.5514637447760743","0.5065953884302519","0.4786879004505731","0.5045851489915028","0.535698741298497","0.48154410512110934","0.4748441022315458","0.4681440993419823","0.46144409645242124","0.45474409356285767"
"South Dakota","0.10835138177749552","0.1129441374096586","0.10912657159273037","0.12421509087060388","0.11625113078714204","0.09090423018536997","0.08814346669085853","0.10622420018748677","0.130721981553721","0.1781457960022982","0.28581491898757144","0.3095016135958148","0.319543794974145","0.42281294457044366","0.4378073180319937","0.42452082022437937","0.4612516580483233","0.40014647409961","0.36568758051347183","0.3979961595451934","0.4281470740572742","0.514651489189271","0.5712795610390397","0.5236740491699174","0.5063270960718498","0.45865083879161755","0.45864375493664766","0.4902480308687899","0.43886955653184573","0.4271482198966016","0.4154268832613578","0.40370554662611846","0.3919842099908745"
"Kansas","0.10475188799177478","0.08990914415313436","0.08856380779582086","0.09548924467023497","0.09501628957634038","0.08000377271765097","0.07345994726178597","0.1031396803048172","0.1338614013124074","0.13596845432277962","0.15993551870331732","0.19145770467809733","0.20870336290785935","0.2083078006592277","0.2119728427227917","0.20164284314614894","0.22296325610087997","0.24551351489310227","0.22059602842541354","0.21472202909068916","0.18846200840666485","0.2052395574102634","0.2278768289334422","0.21641833427076718","0.22813466049774714","0.26468961541020286","0.27553230566391484","0.28367759553660565","0.31062021445587507","0.3287398203706737","0.34685942628547745","0.3649790322002761","0.3830986381150798"
"Louisiana","0.052510031630832496","0.038566469019323237","0.043823305452236234","0.04284481139435726","0.04675088681242252","0.042939099579666754","0.04638405515739817","0.05006585418367655","0.06420120644712571","0.06431020520729384","0.06355624167649461","0.06288834485469774","0.07369650597236083","0.07550942598808551","0.07520325549608395","0.0687321726087877","0.06121800006047961","0.08592633185158306","0.10815039136351266","0.10158114306450149","0.12760988865705042","0.11723365109316883","0.11021994943905168","0.11473803453385346","0.1267701910550667","0.1797741858538208","0.17694690943179414","0.1851023510115203","0.21815302288212318","0.23737801124643698","0.25660299961075606","0.27582798797506985","0.29505297633938893"
"Montana","0.04726957960627779","0.0505248012337839","0.06322495569869062","0.06693967389397926","0.07173211333877651","0.08948889086455593","0.1125996523632405","0.12410110254316731","0.1384714314917294","0.13434501279143607","0.13311237146572322","0.11860685717741692","0.1251532266473132","0.11765817545132905","0.10974199812513229","0.1024458044694427","0.14193705053070854","0.1765847041035411","0.16576664235386615","0.16493178130575464","0.20472578100335662","0.2457198967008377","0.21369397199794374","0.23117814884030363","0.2441969929541262","0.23634001052345097","0.23594543022165773","0.24331175776709288","0.24492563849344698","0.24750309977082335","0.2500805610481997","0.25265802232557544","0.25523548360295173"
"Nebraska","0.04166491844325501","0.03711078605340348","0.042278061749674925","0.05271868868124225","0.05489465493362364","0.05395424657534247","0.04859389458405153","0.05707882536514561","0.06447324962956244","0.06775524860140918","0.07228228564516619","0.08654976431098613","0.09174162327255132","0.09186217653996188","0.09278279028697571","0.08921073912123137","0.09371981505337325","0.10333497995101151","0.12331016964528713","0.11122556944570444","0.10169788031086517","0.12467434394750372","0.12499267434757627","0.12798132801112824","0.14266003616680276","0.16764884284375095","0.17264903855574706","0.16654644066648452","0.19635214636426923","0.20817940760539416","0.2200066688465244","0.2318339300876494","0.2436611913287796"
"Iowa","0.1251639814932414","0.11953382829840638","0.12922643660225588","0.13973742042396203","0.1304096891953189","0.13593171780217123","0.12038604505730442","0.11861479790740576","0.12170314578608364","0.11885030016027096","0.14487143899120022","0.1810044202122834","0.17398590329311442","0.15822768163536846","0.15869845196407512","0.1541210429102785","0.1517449085246001","0.14920148924975055","0.15047917239710906","0.12193529238864194","0.09553606543893071","0.12141223405606459","0.12384695128367958","0.13667188617738668","0.14520218875684177","0.16029487798240044","0.17284767788563307","0.17062153242009115","0.18984246672829105","0.1998585052331549","0.20987454373801614","0.21989058224288","0.22990662074774126"
"Arkansas","0.2299074444343645","0.2243733197859022","0.24298983301581545","0.25453311040551574","0.2703709815234812","0.2621151463908797","0.2559241871238925","0.2569882156702652","0.2928270559133932","0.26774728875986575","0.29030951586077597","0.2924673985908252","0.2712391742114972","0.27288327122078077","0.26518448335298916","0.24105679349239467","0.26685778995433795","0.2754446755571684","0.24279145048232484","0.2480552377150806","0.2545991057485863","0.23296558746862625","0.2463637970304515","0.22178267259366782","0.23869124231153047","0.25232525749191087","0.2412316372433397","0.19597799768967922","0.23860722460597314","0.23578706740026031","0.2329669101945474","0.23014675298883464","0.2273265957831218"
"Oklahoma","0.11181117034080257","0.09875962127672441","0.09856859669176568","0.0986751671958632","0.10313183803562248","0.09171644125918535","0.08875268487102725","0.11566642402249841","0.14305483867065832","0.13765576364571047","0.11604750455109016","0.13331761432157005","0.1568584193050894","0.18713136931869728","0.1706656629471711","0.1330788069793462","0.12899958426320723","0.12484933938129367","0.1225749176570202","0.12812265783664462","0.12791806029816444","0.12337382854032479","0.11413996371223806","0.12786053923614263","0.1355996840545526","0.14861718830324475","0.1552613306722308","0.15923380192929934","0.1716535722342104","0.18008126862936866","0.1885089650245244","0.19693666141968263","0.20536435781483842"
