PUBLICATION_DATE,UNIQUE_ID,WGT_TP,UID,SITE_ID,VISIT_NO,IND_DOMAIN,DSGN_CYCLE,PSTL_CODE,AG_ECO9,AG_ECO9_NM,AG_ECO3,AG_ECO3_NM,EPA_REG,MAJ_BASIN,MAJ_BAS_NM,MIS_BASIN,MIS_BAS_NM,MISS_BASIN,OWN_NARS,FED_NONFED,LAT_DD83,LON_DD83,XCOORD,YCOORD,AREA_CAT6,LAKE_ORGN,URBN_NLA22,URBN_NLA17,URBN_NLA07,FRAME07,FRAME12,FRAME17,TNT_CAT,ACID_COND,ATZ_DETECT,ATZ_EPA_COND_3.4,BENT_MMI_COND_2017,CHLA_COND,CYLSPER_DETECT,CYLSPER_EPA_COND,MICX_DETECT,MICX_EPA_COND,DIS_O2_CLS,PTL_COND,NTL_COND,TROPHIC_STATE,ENT_1X_STV_COND,DRAWDOWN_COND,DRAWDOWN_COND_2CAT_2017,RDIS_COND,LITRIPCVR_COND,LITCVR_COND,RVEG_COND,ZOOP_MMI_COND_2017,ANC_MDL,ANC_NARS_FLAG,ANC_RESULT,ATRAZINE_MDL,ATRAZINE_NARS_FLAG,ATRAZINE_RESULT,BFXHORIZDIST_DD,BFXVERTHEIGHT_DD,CHLA_MDL,CHLA_NARS_FLAG,CHLA_RESULT,COND_MDL,COND_NARS_FLAG,COND_RESULT,CYLSPER_MDL,CYLSPER_NARS_FLAG,CYLSPER_RESULT,DO_SURF,DOC_MDL,DOC_NARS_FLAG,DOC_RESULT,ENTEROCOCCI_NARS_FLAG,ENTEROCOCCI_RESULT,LitCvrQc3OE,LitRipCvrQc3OE,MICX_MDL,MICX_NARS_FLAG,MICX_RESULT,MMI_BENT,MMI_ZOOP_2017,NTL_MDL,NTL_NARS_FLAG,NTL_RESULT,PTL_MDL,PTL_NARS_FLAG,PTL_RESULT,RDis_IX,RVegQc3OE,SULFATE_MDL,SULFATE_NARS_FLAG,SULFATE_RESULT
8/15/2024,NLA_CA-10078,376.7353301,6160,NLA12_CA-143,1,CORE,2012,CA,XER,Xeric,WMTNS,West,Region_09,H18,California Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,37.56448938,-121.9971818,-2246357.582,316413.5533,"(1,4]",MAN_MADE,NA,Urban,Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Fair,Good,NA,NA,Not Detected,At or Below Benchmark,Good,Good,Good,Mesotrophic,NA,Medium,Not Large,Fair,Poor,Fair,Poor,Good,NA,NA,3440,0.046,ND,NA,6.64,2,4,Q,2.7,0.1,NA,660,NA,NA,NA,10.4,0.5,NA,4.41,NA,NA,0.348260809,0.139343858,0.1,ND,NA,45.8,63.97,0.0208,NA,0.339,4.1,NA,26.8,0.594841854,0.070712323,0.08,NA,64.7
8/15/2024,NLA_AZ-10016,2.785659241,6187,NLA12_AZ-101,1,CORE,2012,AZ,XER,Xeric,WMTNS,West,Region_09,H15,Lower Colorado Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,USFS,Federal,33.5692971,-111.5241427,-1424971.998,-323283.2061,>50,MAN_MADE,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Fair,Good,NA,NA,Not Detected,At or Below Benchmark,Good,Good,Good,Mesotrophic,NA,Small,Not Large,Good,Good,Good,Fair,Fair,NA,NA,2807,0.046,ND,NA,1.84,1,0.5,NA,3.228,NA,NA,1121,NA,NA,NA,9.31,0.1,NA,3.95,NA,NA,1.442056161,0.831408179,0.1,ND,NA,42.6,55.07,0.01,NA,0.321,2,NA,40,0,0.595865259,0.09,NA,44.39
8/15/2024,NLA_ND-10055,615.5404353,6189,NLA12_ND-115,1,CORE,2012,ND,NPL,Northern Plains,PLNLOW,Plains and Lowlands,Region_08,H10,Missouri Region,H10U,Upper Missouri Region,MISSISSIPPI_BASIN,Non Federal,Non-Federal,46.82604195,-100.6342083,-354886.4143,1050303.548,"(1,4]",MAN_MADE,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Fair,Good,NA,NA,Detected,At or Below Benchmark,Good,Fair,Fair,Eutrophic,NA,Small,Not Large,Poor,Fair,Good,Poor,Poor,NA,NA,5698,0.046,ND,NA,0,0,0.5,NA,7.48,NA,NA,2790,NA,NA,NA,10.84333333,0.1,NA,15.66,NA,NA,0.729968474,0.43852312,0.1,L,0.13164,34.8,28.15,0.01,NA,1.509,2,NA,70,0.85990991,0.260595353,0.09,NA,1367.664
8/15/2024,NLA_AZ-10057,11.81052443,6192,NLA12_AZ-118,1,CORE,2012,AZ,XER,Xeric,WMTNS,West,Region_09,H15,Lower Colorado Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,33.38131121,-111.883581,-1461153.428,-338533.4623,"(4,10]",MAN_MADE,NA,Urban,Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Fair,Good,NA,NA,Not Detected,At or Below Benchmark,Not Assessed,Good,Good,Oligotrophic,NA,Small,Not Large,Fair,Good,Good,Good,Poor,NA,NA,3020,0.046,ND,NA,0,0,0.5,NA,1.3,NA,NA,1096,NA,NA,NA,NA,0.1,NA,3.42,NA,NA,0.749452082,0.743931508,0.1,ND,NA,38.7,48.68,0.01,NA,0.483,2,NA,38,0.686363636,0.737974723,0.09,NA,56.868
8/15/2024,NLA_UT-10023,2.081091008,6194,NLA12_UT-103,1,CORE,2012,UT,WMT,Western Mountains,WMTNS,West,Region_08,H16,Great Basin Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,41.51882171,-111.7364334,-1297543.919,557961.3936,>50,MAN_MADE,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Not Assessed,Poor,NA,NA,Not Detected,At or Below Benchmark,Good,Good,Good,Mesotrophic,NA,Small,Not Large,Fair,Good,Good,Good,Fair,NA,NA,3815,0.046,ND,NA,0,0,0.5,NA,6.353333333,NA,NA,351,NA,NA,NA,10.7,0.1,NA,1.8,NA,NA,2.972236496,1.634387973,0.1,ND,NA,NA,56.85,0.01,NA,0.189,2,NA,23,0.533333333,1.338821713,0.09,NA,5.06
8/15/2024,NLA_AZ-10068,0.849278273,6195,NLA12_AZ-130,1,CORE,2012,AZ,XER,Xeric,WMTNS,West,Region_09,H15,Lower Colorado Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,USFS,Federal,33.84530018,-111.6185016,-1428510.701,-291445.7809,>50,MAN_MADE,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Fair,Fair,NA,NA,Not Detected,At or Below Benchmark,Good,Fair,Good,Eutrophic,NA,Large,Large,Good,Poor,Fair,Poor,Fair,NA,NA,4561,0.046,ND,NA,67.125,16.89,0.5,NA,8.586666667,NA,NA,562,NA,NA,NA,9.613333333,0.1,NA,2.93,NA,NA,0.310713815,0.186555266,0.1,ND,NA,38.8,51.48,0.01,NA,0.278,2,NA,57,0.17962963,0.138455288,0.09,NA,57.259
8/15/2024,NLA_FL-10074,5.066888268,6212,NLA12_FL-101,1,CORE,2012,FL,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,USACE,Federal,26.96218896,-80.86112023,1506238.799,-1053034.715,>50,NATURAL,NA,Urban,Urban,Include,Include,Include,Target,Good,Detected,At or Below Benchmark,Not Assessed,Good,NA,NA,Detected,At or Below Benchmark,Good,Poor,Poor,Eutrophic,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Poor,NA,S,2589,0.046,L,0.23,NA,NA,0.5,NA,10.36,NA,S,528,NA,NA,NA,7.886666667,0.1,S,13.38,NA,NA,NA,NA,0.1,L,0.13929,NA,52.53,0.01,S,1.249,2,S,147,NA,NA,0.09,S,41.697
8/15/2024,NLA_UT-10042,2.081091008,6216,NLA12_UT-101,1,CORE,2012,UT,WMT,Western Mountains,WMTNS,West,Region_08,H16,Great Basin Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,37.52243125,-112.7718285,-1460671.72,131741.9809,>50,NATURAL,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Fair,Fair,NA,NA,Not Detected,At or Below Benchmark,Good,Good,Good,Mesotrophic,NA,Large,Large,Fair,Poor,Poor,Poor,Fair,NA,NA,2419,0.046,ND,NA,57.4,1.53,0.5,NA,3.586666667,NA,NA,223,NA,NA,NA,9.378,0.1,NA,1.57,NA,NA,0.229141549,0.08818826,0.1,ND,NA,40.1,58.65,0.01,NA,0.156,2,NA,15,0.645918367,0.058948124,0.09,NA,0.701
8/15/2024,NLA_ND-10045,16.78017344,6217,NLA12_ND-112,1,CORE,2012,ND,NPL,Northern Plains,PLNLOW,Plains and Lowlands,Region_08,H10,Missouri Region,H10U,Upper Missouri Region,MISSISSIPPI_BASIN,Non Federal,Non-Federal,46.64003276,-99.58716111,-275524.9068,1026248.484,>50,NATURAL,NA,Non-Urban,Non-Urban,Include,Include,Include,Target,Good,Not Detected,At or Below Benchmark,Poor,Good,NA,NA,Detected,At or Below Benchmark,Good,Poor,Poor,Mesotrophic,NA,Small,Not Large,Poor,Poor,Good,Poor,Poor,NA,NA,11687,0.046,ND,NA,0,0,0.5,NA,3.28,NA,NA,2920,NA,NA,NA,9.84,0.1,NA,19.11,NA,NA,0.715921136,0.288113272,0.1,NA,0.24161,13.2,8.35,0.01,NA,1.9,2,NA,147,0.873664122,0.129365438,0.09,NA,950.55
8/15/2024,NLA_FL-10090,113.0992769,6218,NLA12_FL-123,1,CORE,2012,FL,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Region_04,H03,South Atlantic Gulf Region,NMRB,Not Mississippi River Basin,NOT_MISSISSIPPI_BASIN,Non Federal,Non-Federal,27.20734613,-81.35075299,1453769.946,-1033988.153,"(20,50]",NATURAL,NA,Urban,Urban,Include,Include,Include,Target,Fair,Not Detected,At or Below Benchmark,Good,Good,NA,NA,Not Detected,At or Below Benchmark,Not Assessed,Good,Good,Oligotrophic,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Good,NA,NA,36.1,0.046,ND,NA,NA,NA,0.5,NA,1.952,NA,NA,41.9,NA,NA,NA,NA,0.1,NA,5.14,NA,NA,NA,NA,0.1,ND,NA,69.3,63.47,0.01,NA,0.26,2,NA,7,NA,NA,0.09,NA,4.253
