"UID","SITE_ID","DATE_COL","VISIT_NO","SITESAMP","UNIQUE_ID","DSGN_CYCLE","AG_ECO3","AG_ECO9","EPA_REG","EVAL_CAT","FED_NONFED","FS_EW","HUC2_NM","LAT_DD83","LON_DD83","MAJ_BAS_NM","MIS_BAS_NM","MISS_BASIN","OWN_NARS","PSTL_CODE","STRAH_CAT","URBN_NRS18","USFS","WGT_TP","XCOORD","YCOORD","ACID_COND","ANC_COND","BEDSED_COND","BENT_MMI_COND","CYLSPER_DETECT","CYLSPER_EPA_COND","ENT_1X_STV_COND","FISH_MMI_COND","HG_COND","INSTRMCVR_COND","MICX_DETECT","MICX_EPA_COND","NTL_COND","OE_COND","PTL_COND","RIPDIST_COND","RIPVEG_COND","SAL_COND","SALINITY_CLASS","YEAR","PUBLICATION_DATE"
2014737,"NRS18_OK_10062","06/20/2018","1","Y","NRS_OK-10090","2018-19","PLNLOW","SPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","35.5453888599591","-99.7227053318263","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","SmallStreams","Non-Urban","Not_Forest_Service","476.524166309391","-334492.200000006","-212396.099999991","Good","None","Good","Fair","Not Detected","At or Below Benchmark","At or Below Benchmark","Fair","At or Below Benchmark","Good","Not Detected","At or Below Benchmark","Poor","O/E<0.8","Poor","Low","Good","Good","Freshwater",2018,2022-01-31
2012488,"NRS18_OK_10431","06/25/2018","1","Y","NRS_OK-10206","2018-19","PLNLOW","TPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","36.9021683891269","-95.1642550566665","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","SmallStreams","Non-Urban","Not_Forest_Service","664.858581839337","73775.1971350052","-66667.3834655238","Good","None","Good","Fair","Not Detected","At or Below Benchmark","Above Benchmark","Good","Not Assessed","Fair","Not Detected","At or Below Benchmark","Good","O/E>=0.9","Good","High","Good","Good","Freshwater",2018,2022-01-31
2012489,"NRS18_OK_10025","07/02/2018","1","Y","NRS_OK-10180","2018-19","PLNLOW","CPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","33.9294492359917","-96.0702418025983","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","LargeStreams","Non-Urban","Not_Forest_Service","96.9729970622972","-6446.56861084457","-399691.674042582","Good","None","Fair","Fair","Not Detected","At or Below Benchmark","At or Below Benchmark","Not Assessed","At or Below Benchmark","Good","Not Detected","At or Below Benchmark","Good","O/E>=0.9","Good","Low","Fair","Good","Freshwater",2018,2022-01-31
2012490,"NRS18_WI_10091","07/02/2018","1","Y","NRS_WI-10211","2018-19","PLNLOW","TPL","Region_05","Target_Sampled","Federal","Not_USFS","Upper Mississippi Region","42.5368677046374","-89.3955601270958","Upper Mississippi Region","Upper Mississippi Region","Mississippi_Basin","Non Federal","WI","SmallStreams","Non-Urban","Not_Forest_Service","1676.85558627266","538716.362964669","582888.396843759","Not Assessed","Not Assessed","Good","Poor","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","Not Assessed","Good","Not Detected","At or Below Benchmark","Poor","O/E<0.8","Poor","High","Fair","Not Assessed","Not Assessed",2018,2022-01-31
2012491,"NRS18_WI_10006","07/12/2018","1","Y","NRS_WI-10087","2018-19","PLNLOW","UMW","Region_05","Target_Sampled","Federal","Not_USFS","Great Lakes Region","45.4962572181728","-87.9824929487805","Great Lakes Region","Not Mississippi River Basin","Not_Mississippi_Basin","Non Federal","WI","LargeStreams","Non-Urban","Not_Forest_Service","351.163913845136","625924.800000018","920542.699999965","Good","None","Good","Good","Not Detected","At or Below Benchmark","At or Below Benchmark","Not Assessed","Not Assessed","Good","Not Detected","At or Below Benchmark","Good","O/E>=0.9","Good","Moderate","Good","Good","Freshwater",2018,2022-01-31
2012493,"NRS18_OK_11085","07/16/2018","1","Y","NRS_OK-10220","2018-19","PLNLOW","SPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","36.7144156634049","-97.7929537095458","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","LargeStreams","Non-Urban","Not_Forest_Service","280.099813965863","-158662.083135699","-86530.6179320579","Good","None","Fair","Fair","Not Detected","At or Below Benchmark","At or Below Benchmark","Fair","Not Assessed","Fair","Not Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Moderate","Good","Fair","Slightly Saline",2018,2022-01-31
2012494,"NRS18_WI_10053","07/16/2018","1","Y","NRS_WI-10201","2018-19","PLNLOW","UMW","Region_05","Target_Sampled","Federal","Not_USFS","Upper Mississippi Region","44.558195944284","-90.3225089671874","Upper Mississippi Region","Upper Mississippi Region","Mississippi_Basin","Non Federal","WI","LargeStreams","Non-Urban","Not_Forest_Service","351.163913845136","449734.650523589","803184.558966941","Good","None","Good","Poor","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","Not Assessed","Fair","Not Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Low","Poor","Good","Freshwater",2018,2022-01-31
2012495,"NRS18_OK_10053","07/17/2018","1","Y","NRS_OK-10196","2018-19","PLNLOW","SPL","Region_06","Target_Sampled","Federal","Not_USFS","Arkansas-Red-White Region","35.8853626051472","-97.6134831824896","Arkansas-White-Red Region","Arkansas-White-Red Region","Mississippi_Basin","Non Federal","OK","RiversMajor","Non-Urban","Not_Forest_Service","198.351544943734","-144358.466123006","-179660.087691112","Good","None","Good","Poor","Not Detected","At or Below Benchmark","At or Below Benchmark","Not Assessed","Not Assessed","Fair","Not Detected","At or Below Benchmark","Fair","O/E<0.8","Fair","Moderate","Fair","Poor","Moderately Saline",2018,2022-01-31
2012497,"NRS18_WI_10036","07/17/2018","1","Y","NRS_WI-10184","2018-19","PLNLOW","UMW","Region_05","Target_Sampled","Federal","Not_USFS","Upper Mississippi Region","44.6891556898351","-91.3650926868644","Upper Mississippi Region","Upper Mississippi Region","Mississippi_Basin","Non Federal","WI","SmallStreams","Non-Urban","Not_Forest_Service","1605.7799182526","366509.613237018","813271.266336584","Good","None","Good","Fair","Not Detected","At or Below Benchmark","Above Benchmark","Good","Not Assessed","Fair","Detected","At or Below Benchmark","Poor","O/E>=0.9","Poor","Moderate","Poor","Good","Freshwater",2018,2022-01-31
2012498,"NRS18_WI_10038","07/18/2018","1","Y","NRS_WI-10186","2018-19","PLNLOW","TPL","Region_05","Target_Sampled","Federal","Not_USFS","Upper Mississippi Region","44.7900719047724","-92.5299939131489","Upper Mississippi Region","Upper Mississippi Region","Mississippi_Basin","Non Federal","WI","LargeStreams","Non-Urban","Not_Forest_Service","316.481499407715","274031.589815849","820571.857883512","Good","None","Good","Fair","Not Detected","At or Below Benchmark","At or Below Benchmark","Good","At or Below Benchmark","Good","Detected","At or Below Benchmark","Poor","O/E>=0.9","Good","Low","Poor","Good","Freshwater",2018,2022-01-31
