COLUMN_NAME	LABEL	LEGAL_VALUES
ACID_COND	"Condition based on ANC, DOC, and sulfate"	Good|Fair|Poor|Not Assessed
AG_ECO3	"NARS 3-level reporting region (2015), based on aggregating AG_ECO9 reporting regions.   No missing or ""blank"" values allowed."	EHIGH|PLNLOW|WMTNS |
AG_ECO9	"NARS 9-level reporting region, based on aggregated Omernik Level III ecoregions.  No missing or ""blank"" values allowed."	CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER |
ANC_COND	Site condition class based on acidity	None|Episodic|ACID-AMD|ACID-aciddep|ACID-organic|No Data
BEDSED_COND	"Bed sediment condition, based on log relative bed stability (LRBS_use)"	Good|Fair|Poor|Not Assessed
BENT_MMI_COND	Condition class based on benthic MMI score	Good|Fair|Poor|Not Assessed
CYLSPER_DETECT	Cylindrospermopsin Detection	Detected|Not Detected|Not Assessed
CYLSPER_EPA_COND	Cylindrospermopsin condition based on EPA benchmark	Above Benchmark|At or Below Benchmark|Not Assessed
DATE_COL	Date of data collection in field	NA
EPA_REG	"EPA Region.   No missing or ""blank"" values allowed."	Region_01 | Region_02 | Region_03 | Region_04 | Region_05 | Region_06 | Region_07 | Region_08 | Region_09 | Region_10 |
EVAL_CAT	"NRSA site evaluation result. For hand-picked sites evaluation is Target_Sampled.   No missing or ""blank"" values allowed."	NA
FED_NONFED	"Federal or Non-Federal land, based on OWN_NARS. OWN_NARS in FWS, Other Fed, USFS, NPS, NOAA, BLM, DOD, BOR considered Federal and all others Non-Federal."	Federal|Non-Federal
FISH_MMI_COND	"Fish assemblage condition, based on regional Fish MMI."	Good|Fair|Poor|Not Assessed
FS_EW	"Eastern or western US Forest Service land. Not_USFS if not US Forest Service land.  No missing or ""blank"" values allowed."	East | West | Not_USFS |
HG_COND	Site condition class based on mercury concentration in fish tissue	Does Not Exceed 300 mg Hg/g ww|Exceeds 300 mg Hg/g ww|No Data|Not Assessed|No Sample Collected
HUC2_NM	"USGS Level 2 Hydrologic Unit Region Name where stream reach is located (based on NHDPlusV2 use of HUCs).  No missing or ""blank"" values allowed."	"Arkansas-Red-White Region |California Region |Great Basin Region |Great Lakes Region |Lower Colorado Region |Lower Mississippi Region |""Lower Missouri Region |Mid-Atlantic Region |New England Region |Ohio Region |Pacific Northwest Region |Rio Grande Region |Souris-Red-Rainy Region |South Atlantic-North Region |South Atlantic-South Region |South Atlantic-West Region |Tennessee Region |Texas Region |Upper Colorado Region |Upper Mississippi Region |Upper Missouri Region |"
INSTRMCVR_COND	"Instream cover condition, based in log natural fish cover (L_XFC_NAT)"	Good|Fair|Poor|Not Assessed
LAT_DD83	"Latitude in decimal degrees (based on NAD83 datum) for stream site  from NHDPlusV2, i.e., ""design latitude."".   No missing or ""blank"" values allowed."	NA
