fips,year,variable_name,value
44005,2017,nHousingUnits,42291
44005,2017,nHousingOccupied,35421
44005,2017,nHousingVacant,6870
44005,2017,rentMedian1BR,899
44005,2017,rentMedian4BR,2006
44005,2017,medianHousingYear,1963
44005,2017,rentMedian,1193
44005,2017,rentMedianPercHH,28.8
44005,2017,edPercHSGED,22.71060447674515
44005,2017,edPercBS,27.962234722153084
44005,2017,vacancyRate,16.244591047740652
44003,2017,nHousingUnits,74158
44003,2017,nHousingOccupied,69013
44003,2017,nHousingVacant,5145
44003,2017,rentMedian1BR,836
44003,2017,rentMedian4BR,1316
44003,2017,medianHousingYear,1964
44003,2017,rentMedian,986
44003,2017,rentMedianPercHH,29.5
44003,2017,edPercHSGED,27.886079424905773
44003,2017,edPercBS,20.41284976162544
44003,2017,vacancyRate,6.937889371342269
44007,2017,nHousingUnits,265807
44007,2017,nHousingOccupied,238465
44007,2017,nHousingVacant,27342
44007,2017,rentMedian1BR,712
44007,2017,rentMedian4BR,1304
44007,2017,medianHousingYear,1954
44007,2017,rentMedian,923
44007,2017,rentMedianPercHH,30.1
44007,2017,edPercHSGED,30.164353695861806
44007,2017,edPercBS,16.97832376001006
44007,2017,vacancyRate,10.286410816870887
44001,2017,nHousingUnits,20964
44001,2017,nHousingOccupied,19521
44001,2017,nHousingVacant,1443
44001,2017,rentMedian1BR,777
44001,2017,rentMedian4BR,1995
44001,2017,medianHousingYear,1959
44001,2017,rentMedian,1021
44001,2017,rentMedianPercHH,29.8
44001,2017,edPercHSGED,20.820726727961695
44001,2017,edPercBS,24.73342537379197
44001,2017,vacancyRate,6.883228391528334
44009,2017,nHousingUnits,63450
44009,2017,nHousingOccupied,49608
44009,2017,nHousingVacant,13842
44009,2017,rentMedian1BR,829
44009,2017,rentMedian4BR,1858
44009,2017,medianHousingYear,1974
44009,2017,rentMedian,1086
44009,2017,rentMedianPercHH,30.3
44009,2017,edPercHSGED,22.895697766958474
44009,2017,edPercBS,25.534853237207994
44009,2017,vacancyRate,21.81560283687943
23017,2017,nHousingUnits,36684
23017,2017,nHousingOccupied,20756
23017,2017,nHousingVacant,15928
23017,2017,rentMedian1BR,467
23017,2017,rentMedian4BR,952
23017,2017,medianHousingYear,1975
23017,2017,rentMedian,683
23017,2017,rentMedianPercHH,32
23017,2017,edPercHSGED,43.36194563662375
23017,2017,edPercBS,12.219837863614687
23017,2017,vacancyRate,43.419474430269325
23027,2017,nHousingUnits,22167
23027,2017,nHousingOccupied,16954
23027,2017,nHousingVacant,5213
23027,2017,rentMedian1BR,556
23027,2017,rentMedian4BR,1353
23027,2017,medianHousingYear,1982
23027,2017,rentMedian,791
23027,2017,rentMedianPercHH,28.1
23027,2017,edPercHSGED,32.808590492076725
23027,2017,edPercBS,19.44676118988046
23027,2017,vacancyRate,23.51693959489331
23019,2017,nHousingUnits,75217
23019,2017,nHousingOccupied,61848
23019,2017,nHousingVacant,13369
23019,2017,rentMedian1BR,643
23019,2017,rentMedian4BR,1154
23019,2017,medianHousingYear,1974
23019,2017,rentMedian,777
23019,2017,rentMedianPercHH,31.5
23019,2017,edPercHSGED,34.22442892273743
23019,2017,edPercBS,16.67461452869178
23019,2017,vacancyRate,17.773907494316443
23021,2017,nHousingUnits,15414
23021,2017,nHousingOccupied,7477
23021,2017,nHousingVacant,7937
23021,2017,rentMedian1BR,409
23021,2017,rentMedian4BR,1181
23021,2017,medianHousingYear,1976
23021,2017,rentMedian,621
23021,2017,rentMedianPercHH,31.6
23021,2017,edPercHSGED,41.28199180391247
23021,2017,edPercBS,12.363720714451404
23021,2017,vacancyRate,51.49214999351239
23001,2017,nHousingUnits,49616
23001,2017,nHousingOccupied,45263
23001,2017,nHousingVacant,4353
23001,2017,rentMedian1BR,572
23001,2017,rentMedian4BR,1058
23001,2017,medianHousingYear,1966
23001,2017,rentMedian,724
23001,2017,rentMedianPercHH,29.1
23001,2017,edPercHSGED,37.04461892769121
23001,2017,edPercBS,14.793066760043635
23001,2017,vacancyRate,8.773379554982263
23003,2017,nHousingUnits,39810
23003,2017,nHousingOccupied,29844
23003,2017,nHousingVacant,9966
23003,2017,rentMedian1BR,457
23003,2017,rentMedian4BR,715
23003,2017,medianHousingYear,1970
23003,2017,rentMedian,565
23003,2017,rentMedianPercHH,28.9
23003,2017,edPercHSGED,38.01122219148852
23003,2017,edPercBS,12.869956928912949
23003,2017,vacancyRate,25.033911077618686
23029,2017,nHousingUnits,23247
23029,2017,nHousingOccupied,14017
23029,2017,nHousingVacant,9230
23029,2017,rentMedian1BR,345
23029,2017,rentMedian4BR,738
23029,2017,medianHousingYear,1975
23029,2017,rentMedian,619
23029,2017,rentMedianPercHH,28.1
23029,2017,edPercHSGED,38.07817033623485
23029,2017,edPercBS,13.696876600102406
23029,2017,vacancyRate,39.704047834129135
23005,2017,nHousingUnits,142251
23005,2017,nHousingOccupied,118807
23005,2017,nHousingVacant,23444
23005,2017,rentMedian1BR,839
23005,2017,rentMedian4BR,1627
23005,2017,medianHousingYear,1973
23005,2017,rentMedian,1029
23005,2017,rentMedianPercHH,29.9
23005,2017,edPercHSGED,23.00371323582669
23005,2017,edPercBS,28.152508244928704
23005,2017,vacancyRate,16.48072772774884
23013,2017,nHousingUnits,24215
23013,2017,nHousingOccupied,17022
23013,2017,nHousingVacant,7193
23013,2017,rentMedian1BR,648
